task;learner;optimizer;constants;expression;surrogate_score
9960;xgboost;optimistic_random_search_2;False;100 replications;0.8764715060980893
9960;xgboost;optimistic_random_search_4;False;100 replications;0.9416419291375907
9960;xgboost;optimistic_random_search_8;False;100 replications;0.9791109116977684
9960;xgboost;optimistic_random_search_16;False;100 replications;0.9925085387171376
9960;xgboost;optimistic_random_search_32;False;100 replications;0.9963066032597848
16;rpart;optimistic_random_search_2;False;100 replications;0.8998971543401071
16;rpart;optimistic_random_search_4;False;100 replications;0.9623703835491831
16;rpart;optimistic_random_search_8;False;100 replications;0.9779887231401194
16;rpart;optimistic_random_search_16;False;100 replications;0.9834567687156652
16;rpart;optimistic_random_search_32;False;100 replications;0.9875471297131946
10090;svm;optimistic_random_search_2;False;100 replications;0.47533747391658954
10090;svm;optimistic_random_search_4;False;100 replications;0.6413653191663502
10090;svm;optimistic_random_search_8;False;100 replications;0.9238786768591097
10090;svm;optimistic_random_search_16;False;100 replications;0.9991565240744387
10090;svm;optimistic_random_search_32;False;100 replications;0.9994329502016331
167125;svm;optimistic_random_search_2;False;100 replications;0.8013110909545594
167125;svm;optimistic_random_search_4;False;100 replications;0.9139742779683878
167125;svm;optimistic_random_search_8;False;100 replications;0.9581112687225551
167125;svm;optimistic_random_search_16;False;100 replications;0.9702828381473401
167125;svm;optimistic_random_search_32;False;100 replications;0.9818810905229661
3512;xgboost;optimistic_random_search_2;False;100 replications;0.9399233697171696
3512;xgboost;optimistic_random_search_4;False;100 replications;0.956849277731625
3512;xgboost;optimistic_random_search_8;False;100 replications;0.977512920291786
3512;xgboost;optimistic_random_search_16;False;100 replications;0.9920705030392163
3512;xgboost;optimistic_random_search_32;False;100 replications;0.9944382509549575
146820;xgboost;optimistic_random_search_2;False;100 replications;0.9790056800373665
146820;xgboost;optimistic_random_search_4;False;100 replications;0.9881783102252634
146820;xgboost;optimistic_random_search_8;False;100 replications;0.9921094064092293
146820;xgboost;optimistic_random_search_16;False;100 replications;0.9961512182488385
146820;xgboost;optimistic_random_search_32;False;100 replications;0.9979871262314713
3573;glmnet;optimistic_random_search_2;False;100 replications;0.682949891539851
3573;glmnet;optimistic_random_search_4;False;100 replications;0.8596030258525853
3573;glmnet;optimistic_random_search_8;False;100 replications;0.962650051870415
3573;glmnet;optimistic_random_search_16;False;100 replications;0.9948615301345094
3573;glmnet;optimistic_random_search_32;False;100 replications;0.9988913046747028
43;rf;optimistic_random_search_2;False;100 replications;0.926585304183649
43;rf;optimistic_random_search_4;False;100 replications;0.9454535296425993
43;rf;optimistic_random_search_8;False;100 replications;0.9621629713421502
43;rf;optimistic_random_search_16;False;100 replications;0.9697958159436595
43;rf;optimistic_random_search_32;False;100 replications;0.978265726934001
3;svm;optimistic_random_search_2;False;100 replications;0.834965304884554
3;svm;optimistic_random_search_4;False;100 replications;0.9067874192682153
3;svm;optimistic_random_search_8;False;100 replications;0.9654162015732468
3;svm;optimistic_random_search_16;False;100 replications;0.9853089874240257
3;svm;optimistic_random_search_32;False;100 replications;0.9956961902029642
23;rpart;optimistic_random_search_2;False;100 replications;0.9733175121676101
23;rpart;optimistic_random_search_4;False;100 replications;0.9833499099470058
23;rpart;optimistic_random_search_8;False;100 replications;0.9930102085369787
23;rpart;optimistic_random_search_16;False;100 replications;0.9951003956375796
23;rpart;optimistic_random_search_32;False;100 replications;0.996301052723153
168330;xgboost;optimistic_random_search_2;False;100 replications;0.9818362286258132
168330;xgboost;optimistic_random_search_4;False;100 replications;0.98905676116701
168330;xgboost;optimistic_random_search_8;False;100 replications;0.9936547805834541
168330;xgboost;optimistic_random_search_16;False;100 replications;0.9958967574652864
168330;xgboost;optimistic_random_search_32;False;100 replications;0.9974316790935863
3913;xgboost;optimistic_random_search_2;False;100 replications;0.985791013166298
3913;xgboost;optimistic_random_search_4;False;100 replications;0.9929075144216791
3913;xgboost;optimistic_random_search_8;False;100 replications;0.9966975247740263
3913;xgboost;optimistic_random_search_16;False;100 replications;0.9976773958231077
3913;xgboost;optimistic_random_search_32;False;100 replications;0.9983719486893322
9957;svm;optimistic_random_search_2;False;100 replications;0.8977068479803542
9957;svm;optimistic_random_search_4;False;100 replications;0.9297267371857153
9957;svm;optimistic_random_search_8;False;100 replications;0.9660183310132721
9957;svm;optimistic_random_search_16;False;100 replications;0.9771093100008674
9957;svm;optimistic_random_search_32;False;100 replications;0.9821815136289936
14;svm;optimistic_random_search_2;False;100 replications;0.7393241016611171
14;svm;optimistic_random_search_4;False;100 replications;0.8740549321566923
14;svm;optimistic_random_search_8;False;100 replications;0.970207220500138
14;svm;optimistic_random_search_16;False;100 replications;0.9818988218949327
14;svm;optimistic_random_search_32;False;100 replications;0.9877092937009391
9950;knn;optimistic_random_search_2;False;100 replications;0.9723914589887872
9950;knn;optimistic_random_search_4;False;100 replications;0.9858490728421262
9950;knn;optimistic_random_search_8;False;100 replications;0.99106100997582
9950;knn;optimistic_random_search_16;False;100 replications;0.9948963690892484
9950;knn;optimistic_random_search_32;False;100 replications;0.9966363023595782
146824;rf;optimistic_random_search_2;False;100 replications;0.8793542744039456
146824;rf;optimistic_random_search_4;False;100 replications;0.9329935393472448
146824;rf;optimistic_random_search_8;False;100 replications;0.9456618090029442
146824;rf;optimistic_random_search_16;False;100 replications;0.9660332891105142
146824;rf;optimistic_random_search_32;False;100 replications;0.9709119757754178
9981;xgboost;optimistic_random_search_2;False;100 replications;0.8713794105710465
9981;xgboost;optimistic_random_search_4;False;100 replications;0.896929062836177
9981;xgboost;optimistic_random_search_8;False;100 replications;0.9220814482148466
9981;xgboost;optimistic_random_search_16;False;100 replications;0.9506696988117335
9981;xgboost;optimistic_random_search_32;False;100 replications;0.97488668202718
10093;svm;optimistic_random_search_2;False;100 replications;0.9061795544279793
10093;svm;optimistic_random_search_4;False;100 replications;0.9624709582670223
10093;svm;optimistic_random_search_8;False;100 replications;0.99174462976397
10093;svm;optimistic_random_search_16;False;100 replications;0.99815427568017
10093;svm;optimistic_random_search_32;False;100 replications;0.9986290704515254
3903;rf;optimistic_random_search_2;False;100 replications;0.9839060863137615
3903;rf;optimistic_random_search_4;False;100 replications;0.9855838618133366
3903;rf;optimistic_random_search_8;False;100 replications;0.9879782283670167
3903;rf;optimistic_random_search_16;False;100 replications;0.9896858964885508
3903;rf;optimistic_random_search_32;False;100 replications;0.9914470829239826
14;xgboost;optimistic_random_search_2;False;100 replications;0.9670588985979726
14;xgboost;optimistic_random_search_4;False;100 replications;0.979443935943854
14;xgboost;optimistic_random_search_8;False;100 replications;0.9919468026024403
14;xgboost;optimistic_random_search_16;False;100 replications;0.9946580729864805
14;xgboost;optimistic_random_search_32;False;100 replications;0.9973660221624913
9976;rf;optimistic_random_search_2;False;100 replications;0.9348827602948866
9976;rf;optimistic_random_search_4;False;100 replications;0.9502449716852398
9976;rf;optimistic_random_search_8;False;100 replications;0.9657909919386154
9976;rf;optimistic_random_search_16;False;100 replications;0.9732330111166893
9976;rf;optimistic_random_search_32;False;100 replications;0.9788014613425184
146824;knn;optimistic_random_search_2;False;100 replications;0.9781140563814291
146824;knn;optimistic_random_search_4;False;100 replications;0.9976200948387435
146824;knn;optimistic_random_search_8;False;100 replications;0.9985328576081872
146824;knn;optimistic_random_search_16;False;100 replications;0.9991485462519545
146824;knn;optimistic_random_search_32;False;100 replications;0.9993364334393242
3902;xgboost;optimistic_random_search_2;False;100 replications;0.9817768175085433
3902;xgboost;optimistic_random_search_4;False;100 replications;0.9881088061939031
3902;xgboost;optimistic_random_search_8;False;100 replications;0.9929065224005638
3902;xgboost;optimistic_random_search_16;False;100 replications;0.9956235523179296
3902;xgboost;optimistic_random_search_32;False;100 replications;0.9978362063021181
28;glmnet;optimistic_random_search_2;False;100 replications;0.6381993998343762
28;glmnet;optimistic_random_search_4;False;100 replications;0.7889300520516003
28;glmnet;optimistic_random_search_8;False;100 replications;0.9510249189334862
28;glmnet;optimistic_random_search_16;False;100 replications;0.9803231380702786
28;glmnet;optimistic_random_search_32;False;100 replications;0.9930144441466378
45;knn;optimistic_random_search_2;False;100 replications;0.9948960999045023
45;knn;optimistic_random_search_4;False;100 replications;0.9974995968017278
45;knn;optimistic_random_search_8;False;100 replications;0.9983949435334912
45;knn;optimistic_random_search_16;False;100 replications;0.998725793361928
45;knn;optimistic_random_search_32;False;100 replications;0.9991108915473432
24;glmnet;optimistic_random_search_2;False;100 replications;0.5838582469563871
24;glmnet;optimistic_random_search_4;False;100 replications;0.840612120163543
24;glmnet;optimistic_random_search_8;False;100 replications;0.9698761343924674
24;glmnet;optimistic_random_search_16;False;100 replications;0.9914329536421504
24;glmnet;optimistic_random_search_32;False;100 replications;0.997313264372275
49;xgboost;optimistic_random_search_2;False;100 replications;0.9606978193369747
49;xgboost;optimistic_random_search_4;False;100 replications;0.967488340007964
49;xgboost;optimistic_random_search_8;False;100 replications;0.9732509150326878
49;xgboost;optimistic_random_search_16;False;100 replications;0.982234834741872
49;xgboost;optimistic_random_search_32;False;100 replications;0.9880132745871412
14969;glmnet;optimistic_random_search_2;False;100 replications;0.54376359843419
14969;glmnet;optimistic_random_search_4;False;100 replications;0.8203177389475179
14969;glmnet;optimistic_random_search_8;False;100 replications;0.9171878729948837
14969;glmnet;optimistic_random_search_16;False;100 replications;0.9923017022997149
14969;glmnet;optimistic_random_search_32;False;100 replications;0.9986626452453428
9964;glmnet;optimistic_random_search_2;False;100 replications;0.5654484532048064
9964;glmnet;optimistic_random_search_4;False;100 replications;0.7667774300581093
9964;glmnet;optimistic_random_search_8;False;100 replications;0.9579287191943291
9964;glmnet;optimistic_random_search_16;False;100 replications;0.9889222491279771
9964;glmnet;optimistic_random_search_32;False;100 replications;0.9936109784047864
11;rpart;optimistic_random_search_2;False;100 replications;0.9233966372606602
