task;learner;optimizer;constants;expression;surrogate_score
9960;xgboost;sklearn_default;False;sklearn_default;0.8560
16;rpart;mlr_default;False;mlr_default;0.9030
10090;svm;sklearn_default;False;sklearn_default;0.1061
10090;svm;mlr_default;False;mlr_default;0.1061
167125;svm;sklearn_default;False;sklearn_default;0.9043
167125;svm;mlr_default;False;mlr_default;0.8862
3512;xgboost;sklearn_default;False;sklearn_default;0.9533
146820;xgboost;sklearn_default;False;sklearn_default;0.9672
3573;glmnet;mlr_default;False;mlr_default;0.9156
43;rf;mlr_default;False;mlr_default;0.9853
3;svm;sklearn_default;False;sklearn_default;0.9168
3;svm;mlr_default;False;mlr_default;0.8768
23;rpart;mlr_default;False;mlr_default;0.7619
168330;xgboost;sklearn_default;False;sklearn_default;0.9696
3913;xgboost;sklearn_default;False;sklearn_default;0.9891
9957;svm;sklearn_default;False;sklearn_default;0.9745
9957;svm;mlr_default;False;mlr_default;0.9745
14;svm;sklearn_default;False;sklearn_default;0.9822
14;svm;mlr_default;False;mlr_default;0.9822
9950;knn;mlr_default;False;mlr_default;0.9328
146824;rf;mlr_default;False;mlr_default;0.9840
9981;xgboost;sklearn_default;False;sklearn_default;0.9065
10093;svm;sklearn_default;False;sklearn_default;0.9973
10093;svm;mlr_default;False;mlr_default;0.9973
3903;rf;mlr_default;False;mlr_default;0.9710
14;xgboost;sklearn_default;False;sklearn_default;0.9700
9976;rf;mlr_default;False;mlr_default;0.6949
146824;knn;mlr_default;False;mlr_default;0.8862
3902;xgboost;sklearn_default;False;sklearn_default;0.9798
28;glmnet;mlr_default;False;mlr_default;0.9100
45;knn;mlr_default;False;mlr_default;0.9186
24;glmnet;mlr_default;False;mlr_default;0.9594
49;xgboost;sklearn_default;False;sklearn_default;0.9677
14969;glmnet;mlr_default;False;mlr_default;0.9319
9964;glmnet;mlr_default;False;mlr_default;0.8941
11;rpart;mlr_default;False;mlr_default;0.7495
31;glmnet;mlr_default;False;mlr_default;0.9782
32;svm;sklearn_default;False;sklearn_default;0.9970
32;svm;mlr_default;False;mlr_default;0.9970
10101;glmnet;mlr_default;False;mlr_default;0.9783
146817;glmnet;mlr_default;False;mlr_default;0.9265
3022;glmnet;mlr_default;False;mlr_default;0.6135
145681;glmnet;mlr_default;False;mlr_default;0.8747
9957;rpart;mlr_default;False;mlr_default;0.8560
168911;knn;mlr_default;False;mlr_default;0.9658
23;svm;sklearn_default;False;sklearn_default;0.9645
23;svm;mlr_default;False;mlr_default;0.9693
190411;knn;mlr_default;False;mlr_default;0.9331
9977;xgboost;sklearn_default;False;sklearn_default;0.9843
189927;knn;mlr_default;False;mlr_default;0.9227
7592;svm;sklearn_default;False;sklearn_default;0.9030
7592;svm;mlr_default;False;mlr_default;0.9030
12;rf;mlr_default;False;mlr_default;0.9853
146607;svm;sklearn_default;False;sklearn_default;0.9320
146607;svm;mlr_default;False;mlr_default;0.9326
2073;glmnet;mlr_default;False;mlr_default;0.9653
168868;glmnet;mlr_default;False;mlr_default;0.7922
58;knn;mlr_default;False;mlr_default;0.9936
14965;knn;mlr_default;False;mlr_default;0.8866
9964;rf;mlr_default;False;mlr_default;0.9607
31;rf;mlr_default;False;mlr_default;0.9978
22;knn;mlr_default;False;mlr_default;0.9615
167140;rf;mlr_default;False;mlr_default;0.8213
145681;rf;mlr_default;False;mlr_default;0.9935
29;rf;mlr_default;False;mlr_default;0.9619
14965;svm;sklearn_default;False;sklearn_default;0.8887
14965;svm;mlr_default;False;mlr_default;0.8880
3907;svm;sklearn_default;False;sklearn_default;0.9945
3907;svm;mlr_default;False;mlr_default;0.9945
3904;rf;mlr_default;False;mlr_default;0.9907
12;glmnet;mlr_default;False;mlr_default;0.9349
3561;xgboost;sklearn_default;False;sklearn_default;0.9966
9971;svm;sklearn_default;False;sklearn_default;0.5132
