algorithm,task,expression
knn,146820,"make_tuple(add(28, 0.11171102882018082), 36, add(737, 764), 144)"
knn,9971,"make_tuple(28, 36, add(725, 777), 144)"
knn,3573,"make_tuple(28, 36, mul(750, 2), 144)"
knn,14971,"make_tuple(28, 36, mul(750, 2), 144)"
knn,167121,"make_tuple(28, 36, add(890, 611), 144)"
knn,189928,"make_tuple(28, 36, 732, 142)"
knn,168336,"make_tuple(28, 36, mul(69, 22), 144)"
knn,3945,"make_tuple(28, 36, add(737, 764), 144)"
knn,31,"make_tuple(add(0.0017148647855780418, 28), 36, mul(500, 3), 144)"
knn,32,"make_tuple(add(0.009746535866090408, 28), 36, add(725, 777), 144)"
knn,190411,"make_tuple(28, 36, 707, 142)"
knn,168331,"make_tuple(28, 36, 732, 142)"
knn,14,"make_tuple(28, 36, mul(750, 2), 144)"
knn,7592,"make_tuple(28, 36, truediv(608, 0.4049567485235044), 144)"
knn,168330,"make_tuple(28, 36, 732, 142)"
knn,49,"make_tuple(28, 36, 671, 142)"
knn,9964,"make_tuple(28, 36, add(890, 611), 144)"
knn,9910,"make_tuple(28, 36, 671, 142)"
knn,168335,"make_tuple(28, 36, mul(69, 22), 144)"
knn,3907,"make_tuple(28, 36, 671, 142)"
knn,3,"make_tuple(28, 36, 732, 142)"
knn,125920,"make_tuple(28, 36, add(725, 777), 144)"
knn,28,"make_tuple(add(28, 0.002452087445243324), 36, add(890, 611), 144)"
knn,167119,"make_tuple(add(35, 0.05172701097999954), 53, 723, 289)"
knn,146825,"make_tuple(add(35, 0.010976039052383521), 53, 674, 289)"
knn,29,"make_tuple(add(0.004707160469267737, 35), 53, 697, 289)"
knn,168908,"make_tuple(add(35, 0.010976039052383521), 53, 674, 289)"
knn,167125,"make_tuple(add(35, 0.010976039052383521), 53, mul(25, 717), 289)"
knn,41,"make_tuple(add(35, 0.010976039052383521), 53, 674, 289)"
knn,3913,"make_tuple(add(0.2158736586403542, 35), 53, 661, 289)"
knn,14970,"make_tuple(add(35, 0.05172701097999954), 53, 723, 289)"
knn,146819,"make_tuple(add(0.05269695623463064, 35), 53, 681, 289)"
knn,9960,"make_tuple(add(0.043784632193354475, 35), 53, 685, 289)"
knn,3903,"make_tuple(add(0.2158736586403542, 35), 53, 661, 289)"
knn,219,"make_tuple(add(0.004707160469267737, 35), 53, 697, 289)"
knn,168912,"make_tuple(add(0.2158736586403542, 35), 53, 661, 289)"
knn,9978,"make_tuple(add(0.004707160469267737, 35), 53, 697, 289)"
knn,3904,"make_tuple(add(0.2158736586403542, 35), 53, 661, 289)"
knn,3917,"make_tuple(add(35, 0.010976039052383521), 53, 674, 289)"
knn,167120,"make_tuple(add(0.004050090798830635, 35), 53, 1726, 289)"
knn,16,"make_tuple(add(0.2158736586403542, 35), 53, 661, 289)"
knn,9985,"make_tuple(add(0.05269695623463064, 35), 53, 681, 289)"
knn,3021,"make_tuple(add(0.2158736586403542, 35), 53, 661, 289)"
knn,9976,"make_tuple(add(35, 0.05172701097999954), 53, 723, 289)"
knn,189927,"make_tuple(add(35, 0.05172701097999954), 53, 723, 289)"
knn,168910,"make_tuple(add(0.05338802724338258, 35), 55, truediv(573, 0.046725284667684955), 292)"
knn,3022,"make_tuple(sub(36, 0.8237314332888563), 55, mul(48, 259), 292)"
knn,3512,"make_tuple(add(0.012648130992653682, 35), 55, mul(18, 691), 292)"
knn,12,"make_tuple(add(35, 0.010443365660320449), 55, mul(263, 46), 292)"
knn,167141,"make_tuple(sub(36, 0.7354869052888341), 55, truediv(374, 0.030892257058713183), 292)"
