algorithm,task,expression
rf,146817,"make_tuple(0.8687945876257968, 9, 141)"
rf,9964,"make_tuple(mul(542, 0.0016015276575481094), 9, 141)"
rf,189924,"make_tuple(889, 9, 145)"
rf,14969,"make_tuple(0.8690672921094214, 9, 141)"
rf,167119,"make_tuple(0.8685603285911616, 9, 141)"
rf,189927,"make_tuple(0.8685603285911616, 9, 141)"
rf,168329,"make_tuple(0.8690672921094214, 9, 141)"
rf,3917,"make_tuple(truediv(612, 705), 9, 141)"
rf,2079,"make_tuple(truediv(612, 705), 9, 141)"
rf,29,"make_tuple(493, 9, 145)"
rf,189928,"make_tuple(truediv(825, 945), 9, 141)"
rf,146825,"make_tuple(mul(542, 0.0016015276575481094), 9, 141)"
rf,14,"make_tuple(0.8687945876257968, 9, 141)"
rf,146822,"make_tuple(truediv(825, 945), 9, 141)"
rf,146824,"make_tuple(0.8690672921094214, 9, 141)"
rf,43,"make_tuple(0.8687384557888609, 9, 141)"
rf,167141,"make_tuple(9, 9, 145)"
rf,146606,"make_tuple(0.8687945876257968, 9, 141)"
rf,168332,"make_tuple(mul(542, 0.0016015276575481094), 9, 141)"
rf,3903,"make_tuple(0.8687945876257968, 9, 141)"
rf,3,"make_tuple(mul(542, 0.0016015276575481094), 9, 141)"
rf,168910,"make_tuple(889, 9, 145)"
rf,2073,"make_tuple(9, 9, 145)"
rf,3945,"make_tuple(expit(add(0.03384331631931395, 2)), 9, add(0.0011209764552457461, 147))"
rf,168339,"make_tuple(0.8842713438652302, 9, add(147, 0.0800275064224456))"
rf,9956,"make_tuple(0.8842713438652302, 9, add(147, 0.0800275064224456))"
rf,168331,"make_tuple(0.8842777063816226, 9, add(147, 0.021384239412731446))"
rf,9977,"make_tuple(expit(add(0.03384331631931395, 2)), 9, add(0.0011209764552457461, 147))"
rf,168336,"make_tuple(truediv(237, 268), 9, add(147, 0.00207311129129255))"
rf,3021,"make_tuple(add(expit(2), 0.003535767062927932), 9, add(147, 0.0010558028351175335))"
rf,24,"make_tuple(0.8843075494992094, 9, add(0.17886503704559573, 147))"
rf,58,"make_tuple(0.8842798720017082, 9, add(147, 0.06184271000448585))"
rf,9960,"make_tuple(sub(0.8874612211960058, 0.0031436578432460574), 9, add(0.28015111793212477, 147))"
rf,3560,"make_tuple(add(0.013858097837370131, 0.8704021798227548), 9, add(0.013746467192345367, 147))"
rf,168868,"make_tuple(0.8843075494992094, 9, add(0.17886503704559573, 147))"
rf,28,"make_tuple(0.8843052880183071, 9, add(0.1539260035028451, 147))"
rf,9971,"make_tuple(truediv(237, 268), 9, add(147, 0.00207311129129255))"
rf,45,"make_tuple(expit(add(0.03384331631931395, 2)), 9, add(0.0011209764552457461, 147))"
rf,9950,"make_tuple(0.8842777063816226, 9, add(147, 0.021384239412731446))"
rf,168330,"make_tuple(0.8843075494992094, 9, add(0.17886503704559573, 147))"
rf,168337,"make_tuple(add(expit(2), 0.003535767062927932), 9, add(147, 0.0010558028351175335))"
rf,167120,"make_tuple(add(expit(2), 0.003535767062927932), 9, add(147, 0.0010558028351175335))"
rf,41,"make_tuple(add(0.013858097837370131, 0.8704021798227548), 9, add(0.013746467192345367, 147))"
rf,16,"make_tuple(0.8843052880183071, 9, add(0.1539260035028451, 147))"
rf,3573,"make_tuple(sub(0.8874612211960058, 0.0031436578432460574), 9, add(0.28015111793212477, 147))"
rf,3485,"make_tuple(mul(0.002434875998966677, 357), 9, 147)"
rf,168912,"make_tuple(truediv(167, 171), 9, 145)"
rf,168909,"make_tuple(mul(0.004834510633823542, 200), 9, 141)"
rf,3510,"make_tuple(mul(566, 0.0017081623004937556), 9, 141)"
rf,12,"make_tuple(0.9669553555519436, 9, 141)"
rf,9957,"make_tuple(truediv(167, 171), 9, 145)"
rf,145681,"make_tuple(mul(0.004834510633823542, 200), 9, 141)"
rf,146800,"make_tuple(mul(0.004834510633823542, 200), 9, 141)"
rf,49,"make_tuple(mul(566, 0.0017081623004937556), 9, 141)"
rf,14971,"make_tuple(truediv(167, 171), 9, 145)"
rf,14952,"make_tuple(truediv(167, 171), 9, 145)"
rf,3549,"make_tuple(mul(0.004834510633823542, 200), 9, 141)"
rf,3481,"make_tuple(0.9658067600536392, 9, 141)"
rf,53,"make_tuple(truediv(228, 236), 9, 141)"
rf,10101,"make_tuple(21, 9, 145)"
rf,146212,"make_tuple(truediv(167, 171), 9, 145)"
rf,32,"make_tuple(0.96691473634411, 9, 141)"
rf,146195,"make_tuple(mul(0.004834510633823542, 200), 9, 141)"
rf,14970,"make_tuple(truediv(228, 236), 9, 141)"
rf,11,"make_tuple(0.9663880674258113, 9, 141)"
rf,9981,"make_tuple(0.9664330342695588, 9, 141)"
rf,22,"make_tuple(0.9669553555519436, 9, 141)"
rf,167124,"make_tuple(truediv(167, 171), 9, 145)"
rf,190412,"make_tuple(4, 9, 145)"
rf,6,"make_tuple(0.9746792830489232, 9, 145)"
rf,146818,"make_tuple(0.976942936715212, 9, 145)"
rf,18,"make_tuple(0.9752010482664032, 9, 145)"
rf,125922,"make_tuple(0.9755305223269225, 9, 145)"
rf,3913,"make_tuple(0.9746974394675827, 9, 145)"
rf,9986,"make_tuple(282, 9, 145)"
rf,168911,"make_tuple(3, 9, 145)"
rf,10090,"make_tuple(0.976942936715212, 9, 145)"
rf,14954,"make_tuple(91, 9, 145)"
rf,146820,"make_tuple(0.9752010482664032, 9, 145)"
rf,219,"make_tuple(0.9746792830489232, 9, 145)"
rf,9985,"make_tuple(0.9746974394675827, 9, 145)"
rf,3022,"make_tuple(0.9752010482664032, 9, 145)"
rf,168335,"make_tuple(282, 9, 145)"
rf,10093,"make_tuple(282, 9, 145)"
rf,167211,"make_tuple(0.9752010482664032, 9, 145)"
rf,9952,"make_tuple(0.9752010482664032, 9, 145)"
rf,23,"make_tuple(0.9746974394675827, 9, 145)"
rf,3493,"make_tuple(0.9746974394675827, 9, 145)"
rf,9946,"make_tuple(282, 9, 145)"
rf,37,"make_tuple(0.9746792830489232, 9, 145)"
rf,146819,"make_tuple(0.9756035386173783, 9, 145)"
rf,168338,"make_tuple(3, 9, 145)"
rf,3918,"make_tuple(add(sub(expit(2), 0.002085536824825421), 0.005592455014815336), 9, 73)"
rf,146607,"make_tuple(add(0.0035236735358665917, expit(2)), 9, 73)"
rf,146821,"make_tuple(add(sub(expit(2), 0.002085536824825421), 0.005592455014815336), 9, 73)"
rf,2074,"make_tuple(add(sub(expit(2), 0.002085536824825421), 0.005592455014815336), 9, 73)"
rf,190411,"make_tuple(expit(add(0.04872553711401317, 2)), 9, 73)"
rf,167121,"make_tuple(expit(add(2, 0.0339972943394063)), 9, 73)"
rf,31,"make_tuple(expit(add(2, 0.03351751977929349)), 9, 73)"
rf,3904,"make_tuple(mul(130, 0.006816887081613484), 9, 73)"
rf,14965,"make_tuple(add(0.0035236735358665917, expit(2)), 9, 73)"
rf,10106,"make_tuple(expit(add(2, 0.03351751977929349)), 9, 73)"
rf,167140,"make_tuple(expit(add(0.04872553711401317, 2)), 9, 73)"
rf,3893,"make_tuple(add(expit(2), 0.003531326017637242), 9, 73)"
rf,167125,"make_tuple(expit(add(2, 0.0339972943394063)), 9, 73)"
rf,168908,"make_tuple(expit(add(0.033811254672572684, 2)), 9, 73)"
rf,9976,"make_tuple(expit(add(0.04872553711401317, 2)), 9, 73)"
rf,3902,"make_tuple(expit(add(0.04872553711401317, 2)), 9, 73)"
