algorithm,task,expression
svm,41,"make_tuple(258, 0.003933135000925149)"
svm,16,"make_tuple(108, 0.005178554073552966)"
svm,58,"make_tuple(258, 0.003933135000925149)"
svm,24,"make_tuple(258, 0.003933135000925149)"
svm,3904,"make_tuple(108, 0.005178554073552966)"
svm,146607,"make_tuple(258, 0.003934585090693982)"
svm,49,"make_tuple(258, 0.003934585090693982)"
svm,14970,"make_tuple(108, 0.005178554073552966)"
svm,3512,"make_tuple(258, 0.003934585090693982)"
svm,9952,"make_tuple(258, 0.003933135000925149)"
svm,125921,"make_tuple(108, 0.005178554073552966)"
svm,7592,"make_tuple(108, 0.005178554073552966)"
svm,9964,"make_tuple(108, 0.005178554073552966)"
svm,3561,"make_tuple(258, 0.003933135000925149)"
svm,3022,"make_tuple(108, 0.005178554073552966)"
svm,14969,"make_tuple(258, 0.003933135000925149)"
svm,9946,"make_tuple(258, 0.003933135000925149)"
svm,168912,"make_tuple(258, 0.003933135000925149)"
svm,34539,"make_tuple(258, 0.003933135000925149)"
svm,29,"make_tuple(258, 0.003934585090693982)"
svm,190411,"make_tuple(98, 0.005532665614626162)"
svm,146818,"make_tuple(98, 0.005532665614626162)"
svm,14,"make_tuple(98, 0.005531300081725909)"
svm,43,"make_tuple(98, 0.005531300081725909)"
svm,2079,"make_tuple(36, 0.007671704264408098)"
svm,45,"make_tuple(98, 0.005531300081725909)"
svm,9910,"make_tuple(98, 0.005531300081725909)"
svm,168329,"make_tuple(36, 0.007671704264408098)"
svm,3893,"make_tuple(98, 0.005531300081725909)"
svm,10101,"make_tuple(36, 0.007671704264408098)"
svm,146821,"make_tuple(98, 0.005532665614626162)"
svm,9981,"make_tuple(98, 0.005532665614626162)"
svm,146817,"make_tuple(36, 0.007671704264408098)"
svm,14952,"make_tuple(98, 0.005531300081725909)"
svm,3560,"make_tuple(98, 0.005531300081725909)"
svm,9971,"make_tuple(98, 0.005531300081725909)"
svm,189927,"make_tuple(36, 0.007671704264408098)"
svm,3,"make_tuple(98, 0.005532665614626162)"
svm,146820,"make_tuple(98, 0.005531300081725909)"
svm,219,"make_tuple(36, 0.007671704264408098)"
svm,167119,"make_tuple(102, 0.005426143782097765)"
svm,168868,"make_tuple(102, 0.005426143782097765)"
svm,2074,"make_tuple(102, 0.005426259880474539)"
svm,3021,"make_tuple(102, 0.005426259880474539)"
svm,9950,"make_tuple(sub(286, 0.7439051258686705), 0.005496799225118594)"
svm,31,"make_tuple(sub(286, 0.7439051258686705), 0.005496799225118594)"
svm,10090,"make_tuple(sub(286, 0.7439051258686705), 0.005496799225118594)"
svm,14965,"make_tuple(102, 0.005426259880474539)"
svm,146822,"make_tuple(102, 0.005426259880474539)"
svm,9970,"make_tuple(284, 0.005496799225118594)"
svm,3913,"make_tuple(102, 0.005426143782097765)"
svm,9956,"make_tuple(102, 0.005426259880474539)"
