algorithm,task,expression
svm,190411,"make_tuple(98, 0.005532262737329797)"
svm,146818,"make_tuple(98, 0.005531565897217664)"
svm,14,"make_tuple(98, 0.005531512682938063)"
svm,43,"make_tuple(98, 0.0055314136575804335)"
svm,2079,"make_tuple(98, 0.005531329848415031)"
svm,45,"make_tuple(98, 0.005531517180831114)"
svm,9910,"make_tuple(98, 0.005531410351074641)"
svm,168329,"make_tuple(98, 0.005531329848415031)"
svm,3893,"make_tuple(98, 0.005531517180831114)"
svm,10101,"make_tuple(98, 0.005532262737329797)"
svm,146821,"make_tuple(98, 0.005531410351074641)"
svm,9981,"make_tuple(98, 0.005533953638320987)"
svm,146817,"make_tuple(98, 0.005532262737329797)"
svm,14952,"make_tuple(98, 0.005532262737329797)"
svm,3560,"make_tuple(98, 0.0055314136575804335)"
svm,9971,"make_tuple(98, 0.005531530208942076)"
svm,189927,"make_tuple(98, 0.0055314136575804335)"
svm,3,"make_tuple(98, 0.005531530208942076)"
svm,146820,"make_tuple(98, 0.005532262737329797)"
svm,219,"make_tuple(98, 0.005531530208942076)"
svm,167119,"make_tuple(102, 0.005426794397631747)"
svm,168868,"make_tuple(102, 0.005426064839003025)"
svm,2074,"make_tuple(285, 0.005496952889590786)"
svm,3021,"make_tuple(285, 0.005496782700290972)"
svm,9950,"make_tuple(102, 0.005426665887457799)"
svm,31,"make_tuple(102, 0.005426665887457799)"
svm,10090,"make_tuple(102, 0.005426959281417165)"
svm,14965,"make_tuple(102, 0.005426665887457799)"
svm,146822,"make_tuple(285, 0.005496782700290972)"
svm,9970,"make_tuple(285, 0.005496952889590786)"
svm,3913,"make_tuple(102, 0.005426665887457799)"
svm,9956,"make_tuple(102, 0.005426665887457799)"
svm,9985,"make_tuple(102, 0.005426794397631747)"
svm,3917,"make_tuple(285, 0.005497051513849701)"
svm,10093,"make_tuple(285, 0.005496782700290972)"
svm,167125,"make_tuple(102, 0.005426639582419643)"
svm,15,"make_tuple(285, 0.005497051513849701)"
svm,145681,"make_tuple(285, 0.005496782700290972)"
svm,189928,"make_tuple(285, 0.005497051513849701)"
svm,9978,"make_tuple(285, 0.005496782700290972)"
svm,3902,"make_tuple(405, 0.004887602147342831)"
svm,125920,"make_tuple(sub(mul(0.7960500227682533, 405), 0.25573294713179706), 0.004887217174437401)"
svm,12,"make_tuple(sub(405, sub(83, 0.20033004962135126)), 0.004887313993327547)"
svm,189924,"make_tuple(add(0.04786212020289423, 322), 0.00634316375327898)"
svm,167211,"make_tuple(sub(405, truediv(0.21134067152895608, 0.0025495047018046454)), 0.00488708862749567)"
svm,168910,"make_tuple(add(0.04786212020289423, 322), 0.00634316375327898)"
svm,14954,"make_tuple(add(0.06152964645407259, 322), 0.006343418437630628)"
svm,167140,"make_tuple(sub(405, sub(83, 0.20033004962135126)), 0.004887313993327547)"
svm,146212,"make_tuple(sub(mul(0.7960500227682533, 405), 0.25573294713179706), 0.004887217174437401)"
svm,168909,"make_tuple(add(322, 0.25559823804318965), 0.004887754503205661)"
svm,146824,"make_tuple(sub(405, sub(83, 0.20033004962135126)), 0.004887313993327547)"
svm,146819,"make_tuple(405, 0.00488738958639598)"
svm,3907,"make_tuple(405, 0.004887275032822417)"
svm,9960,"make_tuple(sub(405, truediv(0.21134067152895608, 0.0025495047018046454)), 0.00488708862749567)"
svm,23,"make_tuple(sub(405, sub(83, 0.20033004962135126)), 0.004887313993327547)"
svm,3510,"make_tuple(405, 0.004887602147342831)"
svm,9957,"make_tuple(sub(405, truediv(0.21134067152895608, 0.0025495047018046454)), 0.00488708862749567)"
svm,37,"make_tuple(405, 0.004887275032822417)"
svm,168336,"make_tuple(sub(405, sub(83, 0.20033004962135126)), 0.004887313993327547)"
svm,10106,"make_tuple(add(322, 0.25559823804318965), 0.004887754503205661)"
svm,53,"make_tuple(210, 0.004023667163960189)"
svm,22,"make_tuple(add(101, 0.4665134915188576), 0.005531533329945179)"
svm,2073,"make_tuple(210, 0.004023651896558697)"
svm,18,"make_tuple(add(101, 0.4467599767818912), 0.0055314554816634064)"
svm,9977,"make_tuple(210, 0.004023737506888976)"
svm,28,"make_tuple(210, 0.004023615493875419)"
svm,6,"make_tuple(210, 0.004023651896558697)"
svm,3549,"make_tuple(210, 0.004023738934709265)"
svm,125922,"make_tuple(210, 0.004022514896597524)"
svm,146195,"make_tuple(210, 0.004023737506888976)"
svm,32,"make_tuple(210, 0.004023239877711662)"
svm,3918,"make_tuple(210, 0.004023651896558697)"
svm,9986,"make_tuple(210, 0.004023737506888976)"
svm,167141,"make_tuple(210, 0.004023239877711662)"
svm,3493,"make_tuple(210, 0.004023738934709265)"
svm,11,"make_tuple(add(101, 0.4665134915188576), 0.005531533329945179)"
svm,9976,"make_tuple(210, 0.004023667163960189)"
svm,168911,"make_tuple(210, 0.004023239877711662)"
svm,3485,"make_tuple(210, 0.004022514896597524)"
svm,146800,"make_tuple(210, 0.004023239877711662)"
svm,41,"make_tuple(add(197, 0.7292064063908766), 0.00402365426142408)"
svm,16,"make_tuple(add(197, 0.7065329488775213), 0.0040237169249043485)"
svm,58,"make_tuple(108, 0.005178657774893149)"
svm,24,"make_tuple(108, 0.005178657774893149)"
svm,3904,"make_tuple(108, 0.005178657774893149)"
svm,146607,"make_tuple(108, 0.005178657774893149)"
svm,49,"make_tuple(258, 0.003934517935090143)"
svm,14970,"make_tuple(258, 0.003934517935090143)"
svm,3512,"make_tuple(add(0.6749298366740134, 197), 0.004022837578705442)"
svm,9952,"make_tuple(258, 0.0039338825532806)"
svm,125921,"make_tuple(add(197, 0.7423358353525402), 0.004023661866275889)"
svm,7592,"make_tuple(add(197, 0.6943600506966817), 0.004023701317476131)"
svm,9964,"make_tuple(add(0.6749298366740134, 197), 0.004022837578705442)"
svm,3561,"make_tuple(add(197, 0.6181224449592381), 0.0040225983925951435)"
svm,3022,"make_tuple(add(197, 0.7292064063908766), 0.00402365426142408)"
svm,14969,"make_tuple(258, 0.0039338825532806)"
svm,9946,"make_tuple(add(197, 0.6181224449592381), 0.0040225983925951435)"
svm,168912,"make_tuple(add(197, 0.7292064063908766), 0.00402365426142408)"
svm,34539,"make_tuple(add(197, 0.6181224449592381), 0.0040225983925951435)"
svm,29,"make_tuple(add(197, 0.7292064063908766), 0.00402365426142408)"
