algorithm,task,expression
xgboost,2074,"make_tuple(388, 0.13136415913690594, add(0.04757396885548505, 1), 0.0012188316311300593, 0.100541560916654, add(0.8705858704020056, 0.003713360060832429), add(0.13792457433764668, 13), truediv(3, add(2, 0.14105236879683944)), 0.8421002924901467, 0.5732886395182518)"
xgboost,7592,"make_tuple(388, 0.13144013010755495, add(0.04763868017337277, 1), 0.0019316035692640272, 0.009520583484275154, 0.8739274667400443, 13, mul(0.6682830898834881, 2), 0.8419772700827264, 0.5733506917526039)"
xgboost,190411,"make_tuple(388, 0.1314287425798074, add(0.046253985171705946, 1), 0.0019320278160435526, 0.00952685045310724, 0.8726998966369834, 13, pow(2, 0.41817468768014493), mul(0.28093482181085927, 3), 0.5731810636859418)"
xgboost,167121,"make_tuple(388, 0.1314287425798074, add(0.046253985171705946, 1), 0.0019320278160435526, 0.00952685045310724, 0.8726998966369834, 13, pow(2, 0.41817468768014493), mul(0.28093482181085927, 3), 0.5731810636859418)"
xgboost,31,"make_tuple(388, 0.13143687053802264, 1.0492919471790887, 0.0019316948121753932, 0.009521711110944048, 0.8721224195358718, 13, sub(2, 0.6634374960291882), 0.841914315541931, 0.5733662609481464)"
xgboost,3904,"make_tuple(388, 0.13143687053802264, 1.0492919471790887, 0.0019316948121753932, 0.009521711110944048, 0.8721224195358718, 13, sub(2, 0.6634374960291882), 0.841914315541931, 0.5733662609481464)"
xgboost,14965,"make_tuple(388, 0.13136415913690594, add(0.04757396885548505, 1), 0.001200244582030298, 0.100541560916654, 0.8735187533171901, add(0.0038126841735547, 13), sub(2, 0.5967828700617075), 0.8421002924901467, 0.5732886395182518)"
xgboost,10106,"make_tuple(388, 0.13144013010755495, add(0.04763868017337277, 1), 0.0019316035692640272, 0.009520583484275154, 0.8739274667400443, 13, mul(0.6682830898834881, 2), 0.8419772700827264, 0.5733506917526039)"
xgboost,167140,"make_tuple(388, 0.13140835132555514, add(0.03372397445210086, 1), 0.001931196663691568, 0.14701247381495272, expit(mul(0.9720315576013098, 3)), 13, 2, mul(0.06490283407678069, 13), 0.49003810478880117)"
xgboost,3893,"make_tuple(385, 0.13141729480386852, 1.0484840999936165, 0.0026205333008719705, 0.1469091188667931, add(0.035738918343974704, expit(2)), add(0.13630058435507414, 13), pow(2, 0.48845915167546966), truediv(243, 288), 0.4910231851741824)"
xgboost,167125,"make_tuple(385, 0.13141729480386852, 1.0484840999936165, 0.0026205333008719705, 0.1469091188667931, add(0.035738918343974704, expit(2)), add(0.13630058435507414, 13), pow(2, 0.48845915167546966), truediv(243, 288), 0.4910231851741824)"
xgboost,168909,"make_tuple(388, 0.13136415913690594, add(0.04757396885548505, 1), 0.0012188316311300593, 0.100541560916654, add(0.8705858704020056, 0.003713360060832429), add(0.13792457433764668, 13), truediv(3, add(2, 0.14105236879683944)), 0.8421002924901467, 0.5732886395182518)"
xgboost,190412,"make_tuple(388, 0.13144013010755495, add(0.04763868017337277, 1), 0.0019316035692640272, 0.009520583484275154, 0.8739274667400443, 13, mul(0.6682830898834881, 2), 0.8419772700827264, 0.5733506917526039)"
xgboost,9976,"make_tuple(388, 0.13140835132555514, add(0.03372397445210086, 1), 0.001931196663691568, 0.14701247381495272, expit(mul(0.9720315576013098, 3)), 13, 2, mul(0.06490283407678069, 13), 0.49003810478880117)"
xgboost,3902,"make_tuple(790, 0.06037966245482737, 0.3503868024802148, 0.0027519845163999574, 0.24272479394526267, 0.8737968843342326, 12, 1.189268127923675, expit(sub(2, 0.07897087778249591)), truediv(138, 289))"
xgboost,3907,"make_tuple(388, 0.1313825696794311, 1.0480944040597697, 0.0012197018979436588, 0.11707768252347785, sub(expit(2), 0.006482860687431732), 13, sub(2, 0.5984265891785634), 0.8511137502232032, 0.5433032540426885)"
xgboost,9910,"make_tuple(388, 0.13143687053802264, 1.0492919471790887, 0.0019316948121753932, 0.009521711110944048, 0.8721224195358718, 13, sub(2, 0.6634374960291882), 0.841914315541931, 0.5733662609481464)"
xgboost,15,"make_tuple(385, 0.13141729480386852, 1.0484840999936165, 0.0026205333008719705, 0.1469091188667931, add(0.035738918343974704, expit(2)), add(0.13630058435507414, 13), pow(2, 0.48845915167546966), truediv(243, 288), 0.4910231851741824)"
xgboost,9978,"make_tuple(388, 0.1314287425798074, add(0.046253985171705946, 1), 0.0019320278160435526, 0.00952685045310724, 0.8726998966369834, 13, pow(2, 0.41817468768014493), mul(0.28093482181085927, 3), 0.5731810636859418)"
xgboost,189927,"make_tuple(385, 0.13141729480386852, 1.0484840999936165, 0.0026205333008719705, 0.1469091188667931, add(0.035738918343974704, expit(2)), add(0.13630058435507414, 13), pow(2, 0.48845915167546966), truediv(243, 288), 0.4910231851741824)"
xgboost,3510,"make_tuple(388, 0.1314287425798074, add(0.046253985171705946, 1), 0.0019320278160435526, 0.00952685045310724, 0.8726998966369834, 13, pow(2, 0.41817468768014493), mul(0.28093482181085927, 3), 0.5731810636859418)"
xgboost,9970,"make_tuple(388, 0.13144013010755495, add(0.04763868017337277, 1), 0.0019316035692640272, 0.009520583484275154, 0.8739274667400443, 13, mul(0.6682830898834881, 2), 0.8419772700827264, 0.5733506917526039)"
xgboost,3549,"make_tuple(388, 0.13136415913690594, add(0.04757396885548505, 1), 0.0012188316311300593, 0.100541560916654, add(0.8705858704020056, 0.003713360060832429), add(0.13792457433764668, 13), truediv(3, add(2, 0.14105236879683944)), 0.8421002924901467, 0.5732886395182518)"
xgboost,189924,"make_tuple(392, 0.13144367919438965, 1, 0.0013113737619167192, 0.30726715830523577, 0.8727059972234334, 13, 1.4030978723195375, 0.8523479438826636, 0.4639854200858235)"
xgboost,14969,"make_tuple(392, 0.13144367919438965, 1, 0.0013113737619167192, 0.30726715830523577, 0.8727059972234334, 13, 1.4030978723195375, 0.8523479438826636, 0.4639854200858235)"
xgboost,167119,"make_tuple(406, 0.1862432064921333, add(0.45153983420467286, 12), 0.002177049493441016, 0.36414717741796854, expit(3), 10, sub(2, truediv(0.00680865562912539, 0.03733078875285133)), mul(42, 0.02132590180568976), 0.47501077289647853)"
xgboost,189928,"make_tuple(406, 0.18608838564070268, 13, 0.002118969991393209, 0.010330164745170133, expit(2), 10, pow(2, 0.44566448783295903), 0.9036983848646882, expit(0.00866888343383866))"
xgboost,168329,"make_tuple(392, 0.1311320863018507, 1, 0.001219861131562393, 0.14693722907557064, expit(sub(2, 0.07001745994465207)), 13, mul(0.7015552597896143, 2), mul(4, 0.21325277650915825), 0.4675658798231484)"
xgboost,3917,"make_tuple(406, 0.1862432064921333, add(0.45153983420467286, 12), 0.002177049493441016, 0.36414717741796854, expit(3), 10, sub(2, truediv(0.00680865562912539, 0.03733078875285133)), mul(42, 0.02132590180568976), 0.47501077289647853)"
xgboost,2079,"make_tuple(406, 0.18624347218150838, 13, 0.0021187050586727956, 0.010324245196052935, 0.873840070580983, 10, sub(2, 0.6354271553912814), mul(0.09017072175630925, 10), 0.4746282315881086)"
xgboost,29,"make_tuple(392, 0.1311320863018507, 1, 0.001219861131562393, 0.14693722907557064, expit(sub(2, 0.07001745994465207)), 13, mul(0.7015552597896143, 2), mul(4, 0.21325277650915825), 0.4675658798231484)"
xgboost,3512,"make_tuple(392, 0.13144367919438965, 1, 0.0013113737619167192, 0.30726715830523577, 0.8727059972234334, 13, 1.4030978723195375, 0.8523479438826636, 0.4639854200858235)"
xgboost,146825,"make_tuple(332, 0.19218445014293015, sub(13, 0.5388673598079939), 0.002174839748186004, 0.36109057055995275, 0.9646587092663537, 13, add(2, 0.07570871534634689), 0.8521202401174385, 0.47512462830366337)"
xgboost,14,"make_tuple(406, 0.18608838564070268, sub(13, 0.45112175002902033), 0.002118969991393209, 0.010330164745170133, expit(2), 10, pow(2, 0.44566448783295903), 0.9036983848646882, expit(0.00866888343383866))"
xgboost,146822,"make_tuple(392, 0.1311320863018507, 1, 0.001219861131562393, 0.14693722907557064, expit(sub(2, 0.07001745994465207)), 13, mul(0.7015552597896143, 2), mul(4, 0.21325277650915825), 0.4675658798231484)"
xgboost,146824,"make_tuple(332, 0.19227984881095797, sub(13, 0.5092330274494798), 0.0021722928208238166, 0.3607513844790126, expit(3), 13, add(0.07559603141021738, 2), 0.8523205379131216, 0.4803821654075349)"
xgboost,43,"make_tuple(406, 0.18608838564070268, sub(13, 0.45112175002902033), 0.002118969991393209, 0.010330164745170133, expit(2), 10, pow(2, 0.44566448783295903), 0.9036983848646882, expit(0.00866888343383866))"
xgboost,167141,"make_tuple(392, 0.1311320863018507, 1, 0.001219861131562393, 0.14693722907557064, expit(sub(2, 0.07001745994465207)), 13, mul(0.7015552597896143, 2), mul(4, 0.21325277650915825), 0.4675658798231484)"
xgboost,146606,"make_tuple(406, 0.18624347218150838, 13, 0.0021187050586727956, 0.010324245196052935, 0.873840070580983, 10, sub(2, 0.6354271553912814), mul(0.09017072175630925, 10), 0.4746282315881086)"
xgboost,168332,"make_tuple(406, 0.18608838564070268, sub(13, 0.45112175002902033), 0.002118969991393209, 0.010330164745170133, expit(2), 10, pow(2, 0.44566448783295903), 0.9036983848646882, expit(0.00866888343383866))"
xgboost,3903,"make_tuple(392, 0.1311320863018507, 1, 0.001219861131562393, 0.14693722907557064, expit(sub(2, 0.07001745994465207)), 13, mul(0.7015552597896143, 2), mul(4, 0.21325277650915825), 0.4675658798231484)"
xgboost,3,"make_tuple(332, 0.19227984881095797, sub(13, 0.5092330274494798), 0.0021722928208238166, 0.3607513844790126, expit(3), 13, add(0.07559603141021738, 2), 0.8523205379131216, 0.4803821654075349)"
xgboost,3573,"make_tuple(406, 0.18608838564070268, sub(13, 0.45112175002902033), 0.002118969991393209, 0.010330164745170133, expit(2), 10, pow(2, 0.44566448783295903), 0.9036983848646882, expit(0.00866888343383866))"
xgboost,2073,"make_tuple(332, 0.19218445014293015, sub(13, 0.5388673598079939), 0.002174839748186004, 0.36109057055995275, 0.9646587092663537, 13, add(2, 0.07570871534634689), 0.8521202401174385, 0.47512462830366337)"
xgboost,6,"make_tuple(392, 0.13144367919438965, 1, 0.0013113737619167192, 0.30726715830523577, 0.8727059972234334, 13, 1.4030978723195375, 0.8523479438826636, 0.4639854200858235)"
xgboost,146818,"make_tuple(406, 0.1862432064921333, add(0.45153983420467286, 12), 0.002177049493441016, 0.36414717741796854, expit(3), 10, sub(2, truediv(0.00680865562912539, 0.03733078875285133)), mul(42, 0.02132590180568976), 0.47501077289647853)"
xgboost,18,"make_tuple(406, 0.18608838564070268, sub(13, 0.45112175002902033), 0.002118969991393209, 0.010330164745170133, expit(2), 10, pow(2, 0.44566448783295903), 0.9036983848646882, expit(0.00866888343383866))"
xgboost,125922,"make_tuple(332, 0.19161677796954782, 7, 0.0021278718337926117, 0.36385613093029906, sub(1, 0.03389483542229867), 13, add(2, 0.07398334093635549), 0.8392943972137834, 0.49101260018459597)"
xgboost,3913,"make_tuple(427, 0.1311779659741068, 1.0476692198312312, 0.002300256736968908, 0.14702980830222506, expit(sub(2, 0.07388145464827119)), 13, sub(2, 0.5982221499450237), 0.8420998743537215, 0.49085877465823297)"
xgboost,9986,"make_tuple(398, 0.131161958400593, add(1, 0.03391120639435558), 0.001922628276520143, 0.004944276464044663, sub(1, 0.125692190455167), 13, 1.4027758331427111, 0.8420956738471725, 0.574401073568005)"
xgboost,168911,"make_tuple(398, 0.13116134107742966, add(0.04764131025966447, 1), 0.0019230783751349391, 0.004950042957201454, expit(pow(3, 0.600344952983583)), 13, pow(2, 0.48845657036400114), 0.8419567294814142, 0.5744068548816539)"
xgboost,10090,"make_tuple(398, 0.131161958400593, add(1, 0.03391120639435558), 0.001922628276520143, 0.004944276464044663, sub(1, 0.125692190455167), 13, 1.4027758331427111, 0.8420956738471725, 0.574401073568005)"
xgboost,14954,"make_tuple(427, 0.13113255552531555, truediv(1, 0.9714934497994169), 0.0018926799600213226, 0.14681725826707645, sub(expit(3), 0.036301157545968576), add(13, 0.0044588690258161355), sub(2, 0.596765754505527), 0.8420761296983298, truediv(17, 35))"
xgboost,146820,"make_tuple(427, 0.13113645678162603, 1.0495099569714852, 0.0026077622737888124, 0.14689546297383937, expit(add(2, 0.38944417937499126)), add(13, 0.013362028887276433), pow(2, 0.4889441544493023), 0.8423872304631633, 0.49059432232644884)"
xgboost,219,"make_tuple(398, 0.131161958400593, add(1, 0.03391120639435558), 0.001922628276520143, 0.004944276464044663, sub(1, 0.125692190455167), 13, 1.4027758331427111, 0.8420956738471725, 0.574401073568005)"
