algorithm,task,expression
xgboost,2074,"make_tuple(388, 0.1314287425798074, add(0.046253985171705946, 1), 0.0019320278160435526, 0.00952685045310724, 0.8726998966369834, 13, pow(2, 0.41817468768014493), mul(0.28093482181085927, 3), 0.5731810636859418)"
xgboost,7592,"make_tuple(385, 0.13141729480386852, 1.0484840999936165, 0.0026205333008719705, 0.1469091188667931, add(0.035738918343974704, expit(2)), add(0.13630058435507414, 13), pow(2, 0.48845915167546966), truediv(243, 288), 0.4910231851741824)"
xgboost,190411,"make_tuple(388, 0.13144013010755495, add(0.04763868017337277, 1), 0.0019316035692640272, 0.009520583484275154, 0.8739274667400443, 13, mul(0.6682830898834881, 2), 0.8419772700827264, 0.5733506917526039)"
xgboost,167121,"make_tuple(388, 0.13143687053802264, 1.0492919471790887, 0.0019316948121753932, 0.009521711110944048, 0.8721224195358718, 13, sub(2, 0.6634374960291882), 0.841914315541931, 0.5733662609481464)"
xgboost,31,"make_tuple(388, 0.13143687053802264, 1.0492919471790887, 0.0019316948121753932, 0.009521711110944048, 0.8721224195358718, 13, sub(2, 0.6634374960291882), 0.841914315541931, 0.5733662609481464)"
xgboost,3904,"make_tuple(388, 0.1314287425798074, add(0.046253985171705946, 1), 0.0019320278160435526, 0.00952685045310724, 0.8726998966369834, 13, pow(2, 0.41817468768014493), mul(0.28093482181085927, 3), 0.5731810636859418)"
xgboost,14965,"make_tuple(388, 0.13143687053802264, 1.0492919471790887, 0.0019316948121753932, 0.009521711110944048, 0.8721224195358718, 13, sub(2, 0.6634374960291882), 0.841914315541931, 0.5733662609481464)"
xgboost,10106,"make_tuple(388, 0.13143687053802264, 1.0492919471790887, 0.0019316948121753932, 0.009521711110944048, 0.8721224195358718, 13, sub(2, 0.6634374960291882), 0.841914315541931, 0.5733662609481464)"
xgboost,167140,"make_tuple(385, 0.13141729480386852, 1.0484840999936165, 0.0026205333008719705, 0.1469091188667931, add(0.035738918343974704, expit(2)), add(0.13630058435507414, 13), pow(2, 0.48845915167546966), truediv(243, 288), 0.4910231851741824)"
xgboost,3893,"make_tuple(388, 0.13144013010755495, add(0.04763868017337277, 1), 0.0019316035692640272, 0.009520583484275154, 0.8739274667400443, 13, mul(0.6682830898834881, 2), 0.8419772700827264, 0.5733506917526039)"
xgboost,167125,"make_tuple(388, 0.1314287425798074, add(0.046253985171705946, 1), 0.0019320278160435526, 0.00952685045310724, 0.8726998966369834, 13, pow(2, 0.41817468768014493), mul(0.28093482181085927, 3), 0.5731810636859418)"
xgboost,168909,"make_tuple(388, 0.13143687053802264, 1.0492919471790887, 0.0019316948121753932, 0.009521711110944048, 0.8721224195358718, 13, sub(2, 0.6634374960291882), 0.841914315541931, 0.5733662609481464)"
xgboost,190412,"make_tuple(385, 0.13141729480386852, 1.0484840999936165, 0.0026205333008719705, 0.1469091188667931, add(0.035738918343974704, expit(2)), add(0.13630058435507414, 13), pow(2, 0.48845915167546966), truediv(243, 288), 0.4910231851741824)"
xgboost,9976,"make_tuple(790, 0.06037966245482737, 0.3503868024802148, 0.0027519845163999574, 0.24272479394526267, 0.8737968843342326, 12, 1.189268127923675, expit(sub(2, 0.07897087778249591)), truediv(138, 289))"
xgboost,3902,"make_tuple(385, 0.13141729480386852, 1.0484840999936165, 0.0026205333008719705, 0.1469091188667931, add(0.035738918343974704, expit(2)), add(0.13630058435507414, 13), pow(2, 0.48845915167546966), truediv(243, 288), 0.4910231851741824)"
xgboost,3907,"make_tuple(790, 0.06037966245482737, 0.3503868024802148, 0.0027519845163999574, 0.24272479394526267, 0.8737968843342326, 12, 1.189268127923675, expit(sub(2, 0.07897087778249591)), truediv(138, 289))"
xgboost,9910,"make_tuple(388, 0.13144013010755495, add(0.04763868017337277, 1), 0.0019316035692640272, 0.009520583484275154, 0.8739274667400443, 13, mul(0.6682830898834881, 2), 0.8419772700827264, 0.5733506917526039)"
xgboost,15,"make_tuple(388, 0.1314287425798074, add(0.046253985171705946, 1), 0.0019320278160435526, 0.00952685045310724, 0.8726998966369834, 13, pow(2, 0.41817468768014493), mul(0.28093482181085927, 3), 0.5731810636859418)"
xgboost,9978,"make_tuple(388, 0.1314287425798074, add(0.046253985171705946, 1), 0.0019320278160435526, 0.00952685045310724, 0.8726998966369834, 13, pow(2, 0.41817468768014493), mul(0.28093482181085927, 3), 0.5731810636859418)"
xgboost,189927,"make_tuple(385, 0.13141729480386852, 1.0484840999936165, 0.0026205333008719705, 0.1469091188667931, add(0.035738918343974704, expit(2)), add(0.13630058435507414, 13), pow(2, 0.48845915167546966), truediv(243, 288), 0.4910231851741824)"
xgboost,3510,"make_tuple(388, 0.13144013010755495, add(0.04763868017337277, 1), 0.0019316035692640272, 0.009520583484275154, 0.8739274667400443, 13, mul(0.6682830898834881, 2), 0.8419772700827264, 0.5733506917526039)"
xgboost,9970,"make_tuple(385, 0.13141729480386852, 1.0484840999936165, 0.0026205333008719705, 0.1469091188667931, add(0.035738918343974704, expit(2)), add(0.13630058435507414, 13), pow(2, 0.48845915167546966), truediv(243, 288), 0.4910231851741824)"
xgboost,3549,"make_tuple(385, 0.13141729480386852, 1.0484840999936165, 0.0026205333008719705, 0.1469091188667931, add(0.035738918343974704, expit(2)), add(0.13630058435507414, 13), pow(2, 0.48845915167546966), truediv(243, 288), 0.4910231851741824)"
xgboost,125922,"make_tuple(332, 0.19161677796954782, 7, 0.0021278718337926117, 0.36385613093029906, sub(1, 0.03389483542229867), 13, add(2, 0.07398334093635549), 0.8392943972137834, 0.49101260018459597)"
xgboost,3913,"make_tuple(427, 0.13113255552531555, truediv(1, 0.9714934497994169), 0.0018926799600213226, 0.14681725826707645, sub(expit(3), 0.036301157545968576), add(13, 0.0044588690258161355), sub(2, 0.596765754505527), 0.8420761296983298, truediv(17, 35))"
xgboost,9986,"make_tuple(332, 0.19161677796954782, 7, 0.0021278718337926117, 0.36385613093029906, sub(1, 0.03389483542229867), 13, add(2, 0.07398334093635549), 0.8392943972137834, 0.49101260018459597)"
xgboost,168911,"make_tuple(398, 0.131161958400593, add(1, 0.03391120639435558), 0.001922628276520143, 0.004944276464044663, sub(1, 0.125692190455167), 13, 1.4027758331427111, 0.8420956738471725, 0.574401073568005)"
xgboost,10090,"make_tuple(427, 0.13113255552531555, truediv(1, 0.9714934497994169), 0.0018926799600213226, 0.14681725826707645, sub(expit(3), 0.036301157545968576), add(13, 0.0044588690258161355), sub(2, 0.596765754505527), 0.8420761296983298, truediv(17, 35))"
xgboost,14954,"make_tuple(332, 0.19161677796954782, 7, 0.0021278718337926117, 0.36385613093029906, sub(1, 0.03389483542229867), 13, add(2, 0.07398334093635549), 0.8392943972137834, 0.49101260018459597)"
xgboost,146820,"make_tuple(398, 0.131161958400593, add(1, 0.03391120639435558), 0.001922628276520143, 0.004944276464044663, sub(1, 0.125692190455167), 13, 1.4027758331427111, 0.8420956738471725, 0.574401073568005)"
xgboost,219,"make_tuple(427, 0.13113645678162603, 1.0495099569714852, 0.0026077622737888124, 0.14689546297383937, expit(add(2, 0.38944417937499126)), add(13, 0.013362028887276433), pow(2, 0.4889441544493023), 0.8423872304631633, 0.49059432232644884)"
xgboost,9985,"make_tuple(427, 0.13113645678162603, 1.0495099569714852, 0.0026077622737888124, 0.14689546297383937, expit(add(2, 0.38944417937499126)), add(13, 0.013362028887276433), pow(2, 0.4889441544493023), 0.8423872304631633, 0.49059432232644884)"
xgboost,3022,"make_tuple(427, 0.13113255552531555, truediv(1, 0.9714934497994169), 0.0018926799600213226, 0.14681725826707645, sub(expit(3), 0.036301157545968576), add(13, 0.0044588690258161355), sub(2, 0.596765754505527), 0.8420761296983298, truediv(17, 35))"
xgboost,168335,"make_tuple(427, 0.1311779659741068, 1.0476692198312312, 0.002300256736968908, 0.14702980830222506, expit(sub(2, 0.07388145464827119)), 13, sub(2, 0.5982221499450237), 0.8420998743537215, 0.49085877465823297)"
