,num.impute.selected.cpo,cp,maxdepth,minbucket,minsplit
24.0,impute.median,0.00117569,14.0,5.0,38.0
146212.0,impute.mean,0.000132092,21.0,41.0,75.0
168868.0,impute.mean,0.00121365,22.0,13.0,82.0
167211.0,impute.mean,0.00121365,22.0,13.0,82.0
3893.0,impute.mean,0.00124516,10.0,44.0,69.0
3.0,impute.mean,0.000174432,10.0,14.0,62.0
146820.0,impute.hist,0.00347507,9.0,76.0,12.0
9960.0,impute.median,0.00132044,10.0,41.0,65.0
10093.0,impute.mean,0.000174432,10.0,14.0,62.0
146821.0,impute.mean,0.00203836,14.0,6.0,23.0
167125.0,impute.median,0.000140338,6.0,32.0,69.0
9977.0,impute.mean,0.000132092,21.0,41.0,75.0
14952.0,impute.hist,0.00140368,27.0,2.0,15.0
49.0,impute.hist,0.00153072,12.0,8.0,22.0
3485.0,impute.mean,0.000132092,21.0,41.0,75.0
167141.0,impute.mean,0.000174432,10.0,14.0,62.0
45.0,impute.median,0.000199609,30.0,1.0,32.0
3902.0,impute.mean,0.00124516,10.0,44.0,69.0
14965.0,impute.median,3.21684e-05,21.0,22.0,17.0
168335.0,impute.median,0.000199609,30.0,1.0,32.0
146822.0,impute.hist,0.00977715,9.0,39.0,64.0
9946.0,impute.median,0.00487852,9.0,14.0,37.0
43.0,impute.median,0.00424043,18.0,12.0,14.0
167140.0,impute.hist,0.00140368,27.0,2.0,15.0
14970.0,impute.hist,0.000377969,30.0,60.0,3.0
41.0,impute.mean,0.00746886,8.0,180.0,89.0
168336.0,impute.median,3.21684e-05,21.0,22.0,17.0
7592.0,impute.mean,0.000132092,21.0,41.0,75.0
168338.0,impute.hist,0.00015799,12.0,65.0,46.0
190411.0,impute.median,0.00487852,9.0,14.0,37.0
146607.0,impute.mean,0.0214522,26.0,2.0,98.0
9986.0,impute.hist,0.000253497,15.0,33.0,61.0
219.0,impute.mean,0.000174432,10.0,14.0,62.0
3917.0,impute.median,0.00992144,7.0,45.0,8.0
3913.0,impute.mean,0.000132092,21.0,41.0,75.0
9952.0,impute.mean,0.00398825,5.0,25.0,12.0
168911.0,impute.mean,0.000174432,10.0,14.0,62.0
32.0,impute.mean,6.06125e-05,28.0,65.0,73.0
167119.0,impute.median,0.0142492,12.0,34.0,85.0
3904.0,impute.median,0.00992144,7.0,45.0,8.0
9957.0,impute.median,0.00424043,18.0,12.0,14.0
3549.0,impute.hist,0.00126566,20.0,28.0,97.0
10101.0,impute.median,0.00992144,7.0,45.0,8.0
9976.0,impute.median,6.40274e-05,19.0,139.0,38.0
37.0,impute.median,0.00424043,18.0,12.0,14.0
14954.0,impute.mean,0.0214522,26.0,2.0,98.0
168337.0,impute.hist,0.000197733,16.0,17.0,94.0
9910.0,impute.median,6.40274e-05,19.0,139.0,38.0
31.0,impute.mean,0.00153652,13.0,36.0,28.0
9971.0,impute.mean,0.00398825,5.0,25.0,12.0
2074.0,impute.mean,0.000132092,21.0,41.0,75.0
125922.0,impute.hist,0.00015799,12.0,65.0,46.0
146606.0,impute.hist,0.0010137,4.0,46.0,24.0
168908.0,impute.mean,6.06125e-05,28.0,65.0,73.0
3561.0,impute.mean,0.00203836,14.0,6.0,23.0
58.0,impute.hist,0.00911922,24.0,32.0,33.0
146195.0,impute.median,3.21684e-05,21.0,22.0,17.0
125920.0,impute.median,0.00117569,14.0,5.0,38.0
146825.0,impute.hist,1.97159e-06,23.0,86.0,94.0
3512.0,impute.hist,0.00977715,9.0,39.0,64.0
167120.0,impute.mean,2.56024e-05,27.0,92.0,90.0
9970.0,impute.median,0.0069589,7.0,7.0,31.0
11.0,impute.median,0.0069589,7.0,7.0,31.0
189928.0,impute.median,0.0023823,21.0,28.0,91.0
53.0,impute.hist,0.000253497,15.0,33.0,61.0
3573.0,impute.hist,3.01973e-05,10.0,80.0,23.0
9981.0,impute.median,0.0142492,12.0,34.0,85.0
168330.0,impute.hist,0.0010137,4.0,46.0,24.0
3510.0,impute.hist,0.000197733,16.0,17.0,94.0
168909.0,impute.mean,0.000174432,10.0,14.0,62.0
168339.0,impute.hist,0.000197733,16.0,17.0,94.0
28.0,impute.median,6.40274e-05,19.0,139.0,38.0
12.0,impute.median,0.00172975,21.0,55.0,122.0
23.0,impute.median,0.00158923,7.0,15.0,59.0
18.0,impute.mean,0.00124516,10.0,44.0,69.0
146817.0,impute.hist,0.00126566,20.0,28.0,97.0
146800.0,impute.median,0.00184495,14.0,15.0,64.0
146824.0,impute.mean,0.0031652,9.0,31.0,9.0
145681.0,impute.median,0.00132044,10.0,41.0,65.0
14969.0,impute.hist,0.000253497,15.0,33.0,61.0
14.0,impute.median,6.40274e-05,19.0,139.0,38.0
3481.0,impute.hist,0.00107064,25.0,35.0,15.0
16.0,impute.median,6.40274e-05,19.0,139.0,38.0
6.0,impute.median,0.00146851,8.0,58.0,96.0
22.0,impute.median,6.40274e-05,19.0,139.0,38.0
168331.0,impute.hist,1.97159e-06,23.0,86.0,94.0
9985.0,impute.mean,0.00127641,7.0,1.0,14.0
2073.0,impute.hist,0.00911922,24.0,32.0,33.0
9964.0,impute.median,0.00172975,21.0,55.0,122.0
3022.0,impute.hist,0.00223612,14.0,8.0,34.0
168910.0,impute.mean,0.000174432,10.0,14.0,62.0
3560.0,impute.hist,0.00223612,14.0,8.0,34.0
125921.0,impute.hist,0.0117391,30.0,2.0,94.0
167124.0,impute.hist,3.01973e-05,10.0,80.0,23.0
168332.0,impute.hist,3.01973e-05,10.0,80.0,23.0
9950.0,impute.hist,0.00444067,22.0,4.0,8.0
167121.0,impute.hist,3.01973e-05,10.0,80.0,23.0
10090.0,impute.hist,0.0029704,16.0,88.0,78.0
168329.0,impute.hist,0.000220152,2.0,99.0,27.0
9956.0,impute.median,0.00147617,7.0,60.0,24.0
