algorithm,task,expression
glmnet,146800,"make_tuple(pow(0.9495547520680345, m), truediv(min(25, truediv(if_gt(p, 6, p, 0.0021097767028595126), if_gt(7, po, 2, truediv(10, mcp)))), add(max(311, n), if_gt(add(p, p), n, n, 1))))"
glmnet,146822,"make_tuple(if_gt(4, m, mul(mkd, sub(n, 551)), add(if_gt(0.017460588766201997, mkd, mcp, pow(n, min(m, po))), if_gt(mcp, 0.23309556352112334, po, 0.006911501927486144))), 0.00204130381475835)"
glmnet,167140,"make_tuple(mul(truediv(n, m), mkd), if_gt(pow(xvar, if_gt(mcp, rc, m, 254)), pow(mcp, 100), 0.001252605392897174, 0.008060959938485207))"
glmnet,168336,"make_tuple(if_gt(po, n, 0.012348974315181876, mul(pow(658, m), p)), 0.0020059027655597275)"
glmnet,9981,"make_tuple(truediv(sub(n, add(164, mul(mcp, n))), sub(add(po, po), m)), truediv(min(truediv(xvar, 7), 0.009664820930157279), mul(add(pow(mul(xvar, xvar), if_gt(p, po, rc, 320)), mcp), m)))"
glmnet,3481,"make_tuple(if_gt(truediv(n, m), po, mul(pow(650, min(m, po)), p), min(truediv(mkd, 0.021951715906925334), mcp)), 0.002005822919841223)"
glmnet,146819,"make_tuple(truediv(sub(n, add(164, mul(mcp, n))), sub(add(po, po), m)), truediv(min(truediv(xvar, 7), 0.009664820930157279), mul(add(pow(mul(xvar, xvar), if_gt(p, po, rc, 320)), mcp), m)))"
glmnet,24,"make_tuple(if_gt(po, n, mul(47, mkd), pow(add(p, 924), m)), 0.0020059522015718166)"
glmnet,58,"make_tuple(pow(mul(2, mcp), sub(pow(add(xvar, 0.017552529713655878), 19), max(mkd, pow(mkd, 79)))), truediv(sub(5, add(mkd, xvar)), sub(add(mcp, n), add(p, p))))"
glmnet,34539,"make_tuple(pow(0.9495547520680345, m), truediv(min(25, truediv(if_gt(p, 6, p, 0.0021097767028595126), if_gt(7, po, 2, truediv(10, mcp)))), add(max(311, n), if_gt(add(p, p), n, n, 1))))"
glmnet,3561,"make_tuple(if_gt(po, n, 0.012334338353375765, truediv(pow(607, m), mkd)), 0.0020077069100582555)"
glmnet,168868,"make_tuple(if_gt(mul(m, add(30, po)), n, 0.012348974315181876, mul(pow(631, min(po, m)), po)), 0.0020059027655597275)"
glmnet,28,"make_tuple(truediv(sub(n, add(164, mul(mcp, n))), sub(add(po, po), m)), truediv(min(truediv(xvar, 7), 0.009664820930157279), mul(add(pow(mul(xvar, xvar), if_gt(p, po, rc, 320)), mcp), m)))"
glmnet,9977,"make_tuple(if_gt(po, n, mul(47, mkd), pow(add(p, 924), m)), 0.0020059522015718166)"
glmnet,45,"make_tuple(if_gt(3, m, sub(n, 542), add(if_gt(0.016583567741835788, mkd, mcp, pow(n, min(m, p))), 0.009669339207615616)), 0.00204130381475835)"
glmnet,9956,"make_tuple(if_gt(4, m, mul(mkd, sub(n, 551)), add(if_gt(0.017460588766201997, mkd, mcp, pow(n, min(m, po))), if_gt(mcp, 0.23309556352112334, po, 0.006911501927486144))), 0.00204130381475835)"
glmnet,146821,"make_tuple(if_gt(po, n, mul(47, mkd), pow(add(p, 924), m)), 0.0020059522015718166)"
glmnet,3485,"make_tuple(truediv(sub(n, add(164, mul(mcp, n))), sub(add(po, po), m)), truediv(min(truediv(xvar, 7), 0.009664820930157279), mul(add(pow(mul(xvar, xvar), if_gt(p, po, rc, 320)), mcp), m)))"
glmnet,167120,"make_tuple(mul(truediv(n, m), mkd), if_gt(pow(xvar, if_gt(mcp, rc, m, 254)), pow(mcp, 100), 0.001252605392897174, 0.008060959938485207))"
glmnet,41,"make_tuple(if_gt(mul(xvar, mul(p, m)), n, mul(46, mkd), pow(add(po, 882), min(po, m))), 0.0020059522015718166)"
glmnet,16,"make_tuple(pow(0.9495547520680345, m), truediv(min(25, truediv(if_gt(p, 6, p, 0.0021097767028595126), if_gt(7, po, 2, truediv(10, mcp)))), add(max(311, n), if_gt(add(p, p), n, n, 1))))"
glmnet,125922,"make_tuple(pow(0.9495547520680345, m), truediv(min(25, truediv(if_gt(p, 6, p, 0.0021097767028595126), if_gt(7, po, 2, truediv(10, mcp)))), add(max(311, n), if_gt(add(p, p), n, n, 1))))"
glmnet,7592,"make_tuple(if_gt(truediv(n, m), po, mul(pow(650, min(m, po)), p), min(truediv(mkd, 0.021951715906925334), mcp)), 0.002005822919841223)"
glmnet,2073,"make_tuple(pow(if_gt(231, n, 0.014641355947786353, 879), m), 0.0018339391117151646)"
glmnet,6,"make_tuple(pow(if_gt(n, 192, 0.9358573337747756, rc), sub(m, mkd)), mul(if_gt(n, 830, sub(if_gt(p, 269, add(xvar, 0.1026097197748479), 0.0631961039302843), mkd), sub(2, add(mkd, mul(xvar, xvar)))), 0.00666881791582412))"
glmnet,18,"make_tuple(if_gt(156, n, rc, max(sub(pow(rc, mkd), truediv(mkd, po)), truediv(mcp, 0.5742256550890608))), truediv(add(expit(0.03257190507782227), mkd), mul(add(mul(truediv(mkd, 0.09665357649040046), pow(xvar, rc)), 0.04499653556857943), n)))"
glmnet,189924,"make_tuple(add(pow(sub(947, p), m), pow(0.0005029419395934924, if_gt(po, add(35, p), po, mul(mkd, n)))), min(0.0037328902464794415, mul(m, xvar)))"
glmnet,3918,"make_tuple(pow(if_gt(n, 192, 0.9358573337747756, rc), sub(m, mkd)), mul(if_gt(n, 830, sub(if_gt(p, 269, add(xvar, 0.1026097197748479), 0.0631961039302843), mkd), sub(2, add(mkd, mul(xvar, xvar)))), 0.00666881791582412))"
glmnet,146195,"make_tuple(if_gt(156, n, rc, max(sub(pow(rc, mkd), truediv(mkd, po)), truediv(mcp, 0.5742256550890608))), truediv(add(expit(0.03257190507782227), mkd), mul(add(mul(truediv(mkd, 0.09665357649040046), pow(xvar, rc)), 0.04499653556857943), n)))"
glmnet,3549,"make_tuple(pow(add(po, 906), m), truediv(min(11, p), add(n, if_gt(126, p, truediv(mul(5, xvar), mul(0.03633148639745695, 0.037241520787100066)), 39))))"
glmnet,10101,"make_tuple(pow(if_gt(n, 193, 0.9358573337747756, mkd), m), mul(if_gt(n, 839, sub(if_gt(p, 270, add(xvar, 0.1026097197748479), 0.06336191544548368), mkd), sub(2, add(mkd, xvar))), 0.006632937014046875))"
glmnet,14954,"make_tuple(mul(p, pow(if_gt(if_gt(xvar, 0.0612852779808465, n, po), 368, 631, mkd), m)), 0.0018345614248535063)"
glmnet,9952,"make_tuple(pow(add(po, 906), m), truediv(min(11, p), add(n, if_gt(126, p, truediv(mul(5, xvar), mul(0.03633148639745695, 0.037241520787100066)), 39))))"
glmnet,145681,"make_tuple(mul(0.1543049415765243, pow(sub(n, mul(pow(m, xvar), po)), mul(xvar, min(po, add(7, mcp))))), 0.002005833621390505)"
glmnet,168912,"make_tuple(pow(if_gt(n, 192, 0.9358573337747756, rc), sub(m, mkd)), mul(if_gt(n, 830, sub(if_gt(p, 269, add(xvar, 0.1026097197748479), 0.0631961039302843), mkd), sub(2, add(mkd, mul(xvar, xvar)))), 0.00666881791582412))"
glmnet,168339,"make_tuple(if_gt(156, n, rc, max(sub(pow(rc, mkd), truediv(mkd, po)), truediv(mcp, 0.5742256550890608))), truediv(add(expit(0.03257190507782227), mkd), mul(add(mul(truediv(mkd, 0.09665357649040046), pow(xvar, rc)), 0.04499653556857943), n)))"
glmnet,146817,"make_tuple(pow(add(po, 906), m), truediv(min(11, p), add(n, if_gt(126, p, truediv(mul(5, xvar), mul(0.03633148639745695, 0.037241520787100066)), 39))))"
glmnet,3902,"make_tuple(if_gt(546, n, rc, pow(mul(xvar, 15), m)), if_gt(xvar, 0.3046157792602086, 0.0011689036644145087, 0.006252222721193376))"
glmnet,9957,"make_tuple(if_gt(135, n, mkd, mul(p, pow(627, m))), min(0.0018327746801284444, max(xvar, 0.0008224402529236463)))"
glmnet,23,"make_tuple(add(pow(sub(947, p), m), pow(0.0005029419395934924, if_gt(po, add(35, p), po, mul(mkd, n)))), min(0.0037328902464794415, mul(m, xvar)))"
glmnet,3512,"make_tuple(if_gt(156, n, rc, max(sub(pow(rc, mkd), truediv(mkd, po)), truediv(mcp, 0.5742256550890608))), truediv(add(expit(0.03257190507782227), mkd), mul(add(mul(truediv(mkd, 0.09665357649040046), pow(xvar, rc)), 0.04499653556857943), n)))"
glmnet,9950,"make_tuple(add(pow(sub(947, p), m), pow(0.0005029419395934924, if_gt(po, add(35, p), po, mul(mkd, n)))), min(0.0037328902464794415, mul(m, xvar)))"
glmnet,37,"make_tuple(add(pow(sub(947, p), m), pow(0.0005029419395934924, if_gt(po, add(35, p), po, mul(mkd, n)))), min(0.0037328902464794415, mul(m, xvar)))"
glmnet,146824,"make_tuple(pow(if_gt(n, 192, 0.9358573337747756, rc), sub(m, mkd)), mul(if_gt(n, 830, sub(if_gt(p, 269, add(xvar, 0.1026097197748479), 0.0631961039302843), mkd), sub(2, add(mkd, mul(xvar, xvar)))), 0.00666881791582412))"
glmnet,10093,"make_tuple(pow(add(po, 906), m), truediv(min(11, p), add(n, if_gt(126, p, truediv(mul(5, xvar), mul(0.03633148639745695, 0.037241520787100066)), 39))))"
glmnet,168910,"make_tuple(if_gt(n, 106, mul(0.15812239123476377, if_gt(4, if_gt(p, 42, m, 0.18290404189198775), pow(2571, m), 0.7152118700444242)), rc), 0.0019638516938220293)"
glmnet,3560,"make_tuple(if_gt(547, n, mul(n, rc), add(mul(if_gt(rc, xvar, 33, mcp), xvar), mcp)), 0.0014339349329556225)"
glmnet,190411,"make_tuple(if_gt(689, n, sub(truediv(mkd, truediv(0.29427147292528366, m)), mul(rc, xvar)), pow(add(po, 883), if_gt(po, 12, m, po))), min(0.001971403099959335, add(0.0007823960837015296, pow(xvar, 2))))"
glmnet,12,"make_tuple(if_gt(547, n, mul(n, rc), add(mul(if_gt(rc, xvar, 33, mcp), xvar), mcp)), 0.0014339349329556225)"
glmnet,167141,"make_tuple(if_gt(689, n, sub(truediv(mkd, truediv(0.29427147292528366, m)), mul(rc, xvar)), pow(add(po, 883), if_gt(po, 12, m, po))), min(0.001971403099959335, add(0.0007823960837015296, pow(xvar, 2))))"
glmnet,146212,"make_tuple(min(pow(m, m), pow(po, 82)), 0.001433820515268398)"
glmnet,168335,"make_tuple(if_gt(114, mul(xvar, n), truediv(0.037889243696738115, p), add(mcp, pow(sub(mcp, 0.09891430818474739), 0.8004836482867375))), 0.0019707840130447386)"
glmnet,49,"make_tuple(if_gt(689, n, sub(truediv(mkd, truediv(0.29427147292528366, m)), mul(rc, xvar)), pow(add(po, 883), if_gt(po, 12, m, po))), min(0.001971403099959335, add(0.0007823960837015296, pow(xvar, 2))))"
glmnet,14971,"make_tuple(if_gt(n, 107, mul(mcp, if_gt(4, if_gt(p, 43, m, 0.47984402874847376), pow(mul(2683, xvar), m), 0.8274267443114899)), rc), 0.0019638516938220293)"
glmnet,14952,"make_tuple(pow(mul(add(xvar, mkd), if_gt(546, n, 0.0347172446323131, truediv(n, 18))), m), 0.0019413694461214745)"
glmnet,125921,"make_tuple(if_gt(114, mul(xvar, n), truediv(0.037889243696738115, p), add(mcp, pow(sub(mcp, 0.09891430818474739), 0.8004836482867375))), 0.0019707840130447386)"
glmnet,3493,"make_tuple(if_gt(547, n, mul(n, rc), add(mul(if_gt(rc, xvar, 33, mcp), xvar), mcp)), 0.0014339349329556225)"
glmnet,53,"make_tuple(mul(if_gt(mcp, 0.6968625679483966, 997, mul(if_gt(pow(m, xvar), 4, p, if_gt(p, n, 0.1706389252375094, n)), add(0.048236149418770836, mcp))), mkd), 0.0018313572743055698)"
glmnet,146818,"make_tuple(add(pow(rc, 0.21615216362169398), truediv(sub(if_gt(544, n, mkd, max(mcp, 0.04704141380633579)), 0.00945796727780841), 0.5357961102524055)), 0.001433617950011125)"
glmnet,3893,"make_tuple(sub(if_gt(pow(n, m), po, truediv(if_gt(add(rc, mkd), 0.022092342002661986, po, 2), m), 0.002644033162786418), 0.009957558800089332), 0.001433601860875132)"
glmnet,32,"make_tuple(if_gt(114, mul(xvar, n), truediv(0.037889243696738115, p), add(mcp, pow(sub(mcp, 0.09891430818474739), 0.8004836482867375))), 0.0019707840130447386)"
glmnet,167211,"make_tuple(if_gt(689, n, sub(truediv(mkd, truediv(0.29427147292528366, m)), mul(rc, xvar)), pow(add(po, 883), if_gt(po, 12, m, po))), min(0.001971403099959335, add(0.0007823960837015296, pow(xvar, 2))))"
glmnet,14970,"make_tuple(add(pow(rc, 0.21615216362169398), truediv(sub(if_gt(544, n, mkd, max(mcp, 0.04704141380633579)), 0.00945796727780841), 0.5357961102524055)), 0.001433617950011125)"
glmnet,11,"make_tuple(mul(if_gt(mcp, 0.6968625679483966, 997, mul(if_gt(pow(m, xvar), 4, p, if_gt(p, n, 0.1706389252375094, n)), add(0.048236149418770836, mcp))), mkd), 0.0018313572743055698)"
glmnet,9986,"make_tuple(if_gt(689, n, sub(truediv(mkd, truediv(0.29427147292528366, m)), mul(rc, xvar)), pow(add(po, 883), if_gt(po, 12, m, po))), min(0.001971403099959335, add(0.0007823960837015296, pow(xvar, 2))))"
glmnet,22,"make_tuple(pow(mul(add(xvar, mkd), if_gt(546, n, 0.0347172446323131, truediv(n, 18))), m), 0.0019413694461214745)"
glmnet,9946,"make_tuple(if_gt(689, n, sub(truediv(mkd, truediv(0.29427147292528366, m)), mul(rc, xvar)), pow(add(po, 883), if_gt(po, 12, m, po))), min(0.001971403099959335, add(0.0007823960837015296, pow(xvar, 2))))"
glmnet,3021,"make_tuple(if_gt(n, 107, mul(mcp, if_gt(4, if_gt(p, 43, m, 0.47984402874847376), pow(mul(2683, xvar), m), 0.8274267443114899)), rc), 0.0019638516938220293)"
glmnet,146607,"make_tuple(if_gt(if_gt(mkd, 0.11676145399674297, rc, truediv(0.01945047288335519, xvar)), rc, if_gt(mul(m, max(xvar, rc)), 2, add(0.0104709114661987, mcp), if_gt(0.5191002908047214, mcp, m, truediv(mkd, expit(mcp)))), n), 0.002509495558272985)"
glmnet,168331,"make_tuple(if_gt(n, 1469, add(truediv(xvar, m), 0.0433321483069998), truediv(23, pow(if_gt(m, max(po, 20), rc, p), pow(xvar, mcp)))), if_gt(mcp, rc, 0.0011651632704998568, 0.008047327608401524))"
glmnet,2074,"make_tuple(truediv(if_gt(0.0696852562751094, xvar, 0.17156679709967504, sub(if_gt(po, 7, sub(2, 0.18714748248213814), 946), mcp)), min(if_gt(1, xvar, rc, m), 17)), 0.003195832477203504)"
