algorithm,task,expression
knn,146820,"make_tuple(truediv(10, if_gt(xvar, if_gt(651, p, mcp, n), pow(0.13495807462138215, mcp), 0.004303021373532757)), 47, 554, 240)"
knn,9971,"make_tuple(add(19, pow(67, mcp)), 32, n, 158)"
knn,3573,"make_tuple(max(m, mul(p, if_gt(0.19115877770471656, mcp, 0.07180286998422311, m))), 57, n, 181)"
knn,14971,"make_tuple(add(19, pow(67, mcp)), 32, n, 158)"
knn,167121,"make_tuple(max(m, truediv(17, pow(mul(xvar, 0.32840646962407094), mcp))), 32, n, 153)"
knn,189928,"make_tuple(if_gt(p, 601, 928, max(add(14, pow(107, mcp)), m)), 45, n, 198)"
knn,168336,"make_tuple(max(m, truediv(17, pow(mul(xvar, 0.32840646962407094), mcp))), 32, n, 153)"
knn,3945,"make_tuple(add(pow(13, xvar), if_gt(truediv(mcp, xvar), 0.5907706606240252, 606, m)), 33, n, 153)"
knn,31,"make_tuple(max(if_gt(rc, 0.01790532132628179, mcp, m), mul(p, if_gt(0.19235739834175508, mcp, 0.07194996811030437, m))), 57, n, 208)"
knn,32,"make_tuple(add(19, pow(67, mcp)), 32, n, 158)"
knn,190411,"make_tuple(truediv(18, pow(0.34544591286396936, mcp)), 32, n, 163)"
knn,168331,"make_tuple(add(19, pow(67, mcp)), 32, n, 158)"
knn,14,"make_tuple(max(m, truediv(17, pow(mul(xvar, 0.32840646962407094), mcp))), 32, n, 153)"
knn,7592,"make_tuple(max(if_gt(rc, 0.01790532132628179, mcp, m), mul(p, if_gt(0.19235739834175508, mcp, 0.07194996811030437, m))), 57, n, 208)"
knn,168330,"make_tuple(max(m, truediv(17, pow(mul(xvar, 0.32840646962407094), mcp))), 32, n, 153)"
knn,49,"make_tuple(add(pow(13, xvar), if_gt(truediv(mcp, xvar), 0.5907706606240252, 606, m)), 33, n, 153)"
knn,9964,"make_tuple(add(pow(13, xvar), if_gt(truediv(mcp, xvar), 0.5907706606240252, 606, m)), 33, n, 153)"
knn,9910,"make_tuple(truediv(10, if_gt(xvar, if_gt(651, p, mcp, n), pow(0.13495807462138215, mcp), 0.004303021373532757)), 47, 554, 240)"
knn,168335,"make_tuple(max(m, mul(9, pow(p, mcp))), 47, n, 156)"
knn,3907,"make_tuple(max(m, truediv(17, pow(mul(xvar, 0.32840646962407094), mcp))), 32, n, 153)"
knn,3,"make_tuple(max(m, mul(9, pow(p, mcp))), 47, n, 156)"
knn,125920,"make_tuple(if_gt(p, 611, p, add(17, pow(81, mcp))), 37, n, 198)"
knn,28,"make_tuple(add(pow(13, xvar), if_gt(truediv(mcp, xvar), 0.5907706606240252, 606, m)), 33, n, 153)"
knn,6,"make_tuple(if_gt(p, 649, 691, truediv(if_gt(m, po, 46, 14), pow(0.21188195109198174, mcp))), n, n, 176)"
knn,146821,"make_tuple(mul(pow(p, mcp), add(m, 3)), p, n, 147)"
knn,22,"make_tuple(mul(pow(p, mcp), add(m, 3)), p, n, 147)"
knn,189924,"make_tuple(truediv(max(add(749, p), mul(n, mcp)), 65), 45, 625, 274)"
knn,3918,"make_tuple(max(mul(mcp, max(p, 60)), pow(m, xvar)), 48, n, 178)"
knn,146195,"make_tuple(mul(pow(104, mcp), pow(m, if_gt(mcp, xvar, m, xvar))), p, n, 296)"
knn,168909,"make_tuple(truediv(max(add(749, p), mul(n, mcp)), 65), 45, 625, 274)"
knn,146800,"make_tuple(36, 50, n, 278)"
knn,14969,"make_tuple(add(pow(mul(p, 4), mcp), 23), p, n, 140)"
knn,9952,"make_tuple(truediv(max(5, mul(xvar, m)), pow(mkd, mcp)), 32, 556, 141)"
knn,145681,"make_tuple(truediv(max(add(749, p), mul(n, mcp)), 65), 45, 625, 274)"
knn,3549,"make_tuple(if_gt(p, 649, 691, truediv(if_gt(m, po, 46, 14), pow(0.21188195109198174, mcp))), n, n, 176)"
knn,168337,"make_tuple(truediv(n, mul(76, if_gt(0.36504515153688055, xvar, 0.27720237003268805, truediv(0.7718003215427405, xvar)))), 47, n, p)"
knn,10101,"make_tuple(truediv(max(5, mul(xvar, m)), pow(mkd, mcp)), 32, 556, 141)"
knn,3902,"make_tuple(mul(pow(104, mcp), m), p, n, 250)"
knn,9957,"make_tuple(max(mul(mcp, max(p, 60)), pow(m, xvar)), 48, n, 178)"
knn,2073,"make_tuple(mul(pow(104, mcp), m), p, n, 250)"
knn,3510,"make_tuple(mul(pow(104, mcp), m), p, n, 250)"
knn,9950,"make_tuple(mul(pow(104, mcp), pow(m, if_gt(mcp, xvar, m, xvar))), p, n, 296)"
knn,43,"make_tuple(mul(pow(104, mcp), m), p, n, 250)"
knn,146822,"make_tuple(if_gt(p, 649, 691, truediv(if_gt(m, po, 46, 14), pow(0.21188195109198174, mcp))), n, n, 176)"
knn,10090,"make_tuple(truediv(10, pow(mkd, mcp)), 30, n, 143)"
knn,10093,"make_tuple(truediv(n, min(po, 71)), 32, n, 147)"
knn,3481,"make_tuple(35, 55, n, 289)"
knn,167140,"make_tuple(35, 55, n, 289)"
knn,168329,"make_tuple(35, 55, n, 289)"
knn,9981,"make_tuple(35, 55, n, 289)"
knn,168338,"make_tuple(truediv(27, xvar), 37, n, 185)"
knn,168911,"make_tuple(35, 55, n, 289)"
knn,2074,"make_tuple(35, 55, n, 289)"
