algorithm,task,expression
knn,146820,"make_tuple(truediv(if_gt(if_gt(mkd, max(pow(0.4397359473529541, m), 0.03467888212066581), 0.0009718676965617051, 752), p, add(pow(mul(p, p), mcp), if_gt(p, po, 0.0011284226697832079, m)), 67), xvar), 55, n, 167)"
knn,9971,"make_tuple(if_gt(po, 609, po, add(if_gt(m, po, 210, pow(6, xvar)), pow(mul(mul(p, m), p), mcp))), 45, truediv(n, 6), 718)"
knn,3573,"make_tuple(add(mul(13, sub(xvar, max(pow(rc, mcp), mkd))), add(if_gt(truediv(if_gt(mcp, mkd, mcp, po), xvar), 0.5992978074382511, n, m), mcp)), truediv(33, xvar), mul(0.0021744390674784285, mul(if_gt(m, po, 108, p), n)), 153)"
knn,14971,"make_tuple(mul(max(m, truediv(19, truediv(mul(xvar, 0.36186692190395253), mcp))), max(add(0.39284258757207446, mul(if_gt(po, m, 0.005560108637318801, n), if_gt(0.4661110558588645, mcp, po, 0))), xvar)), 61, n, 170)"
knn,167121,"make_tuple(add(pow(add(mul(xvar, m), mcp), xvar), mul(if_gt(add(add(0.21085056242289077, mcp), mcp), 0.6742267039414387, m, truediv(if_gt(11, po, 19, 0.014329885774072562), xvar)), p)), 47, n, 768)"
knn,189928,"make_tuple(add(mul(13, sub(xvar, max(pow(rc, mcp), mkd))), add(if_gt(truediv(if_gt(mcp, mkd, mcp, po), xvar), 0.5992978074382511, n, m), mcp)), truediv(33, xvar), mul(0.0021744390674784285, mul(if_gt(m, po, 108, p), n)), 153)"
knn,168336,"make_tuple(add(mul(13, sub(xvar, max(pow(rc, mcp), mkd))), add(if_gt(truediv(if_gt(mcp, mkd, mcp, po), xvar), 0.5992978074382511, n, m), mcp)), truediv(33, xvar), mul(0.0021744390674784285, mul(if_gt(m, po, 108, p), n)), 153)"
knn,3945,"make_tuple(if_gt(if_gt(m, 6, p, m), if_gt(m, po, 0.01108591632462121, 106), 171, mul(add(56, truediv(pow(0.4320616087371323, mcp), xvar)), mcp)), 47, 625, 666)"
knn,31,"make_tuple(truediv(max(16, m), if_gt(mul(0.6054106439657092, xvar), if_gt(if_gt(mcp, mkd, 672, mkd), po, mcp, 297), pow(if_gt(mkd, rc, xvar, 785), truediv(mkd, 0.0648090096672674)), 0.012779664002278947)), 46, 554, 207)"
knn,32,"make_tuple(add(pow(add(mul(xvar, m), mcp), xvar), mul(if_gt(add(add(0.21085056242289077, mcp), mcp), 0.6742267039414387, m, truediv(if_gt(11, po, 19, 0.014329885774072562), xvar)), p)), 47, n, 768)"
knn,190411,"make_tuple(add(mul(13, sub(xvar, max(pow(rc, mcp), mkd))), add(if_gt(truediv(if_gt(mcp, mkd, mcp, po), xvar), 0.5992978074382511, n, m), mcp)), truediv(33, xvar), mul(0.0021744390674784285, mul(if_gt(m, po, 108, p), n)), 153)"
knn,168331,"make_tuple(if_gt(if_gt(m, 6, p, m), if_gt(m, po, 0.01108591632462121, 106), 171, mul(add(56, truediv(pow(0.4320616087371323, mcp), xvar)), mcp)), 47, 625, 666)"
knn,14,"make_tuple(if_gt(truediv(po, 8), 20, mul(mcp, p), max(mul(sub(m, po), mul(mcp, 82)), mul(6, sub(pow(p, mcp), rc)))), p, n, 198)"
