algorithm,task,expression
rf,9964,"make_tuple(n, if_gt(xvar, 0.1587394804400416, 6, 71), truediv(78, mcp))"
rf,189924,"make_tuple(225, 9, 145)"
rf,14969,"make_tuple(225, 9, 145)"
rf,167119,"make_tuple(po, 9, max(10, sub(mul(p, xvar), 28)))"
rf,189927,"make_tuple(225, 9, 145)"
rf,168329,"make_tuple(po, 9, 145)"
rf,3917,"make_tuple(400, 9, if_gt(0.603100453186564, mcp, po, 14))"
rf,2079,"make_tuple(187, 8, truediv(60, max(rc, truediv(mkd, 0.005363527961165198))))"
rf,29,"make_tuple(po, 9, max(10, sub(mul(p, xvar), 28)))"
rf,3512,"make_tuple(347, 9, max(14, mul(317, xvar)))"
rf,146825,"make_tuple(347, 9, max(14, mul(317, xvar)))"
rf,14,"make_tuple(25, 9, 145)"
rf,146822,"make_tuple(347, 9, max(14, mul(317, xvar)))"
rf,146824,"make_tuple(400, 9, if_gt(0.603100453186564, mcp, po, 14))"
rf,43,"make_tuple(13, 9, 145)"
rf,167141,"make_tuple(666, 9, 145)"
rf,146606,"make_tuple(25, 9, 145)"
rf,168332,"make_tuple(225, 9, 145)"
rf,3903,"make_tuple(225, 9, 145)"
rf,3,"make_tuple(po, 9, max(10, sub(mul(p, xvar), 28)))"
rf,168910,"make_tuple(187, 8, truediv(60, max(rc, truediv(mkd, 0.005363527961165198))))"
rf,2073,"make_tuple(187, 8, truediv(60, max(rc, truediv(mkd, 0.005363527961165198))))"
rf,6,"make_tuple(400, 9, if_gt(0.603100453186564, mcp, po, 14))"
rf,168339,"make_tuple(0.8758705879103958, 9, 65)"
rf,9956,"make_tuple(523, 9, add(mul(0.2931593482700411, po), 3))"
rf,168331,"make_tuple(po, 9, 65)"
rf,9977,"make_tuple(168, 9, 65)"
rf,168336,"make_tuple(0.97298970245532, 9, truediv(if_gt(0.7370586795702893, rc, p, 183), 3))"
rf,3021,"make_tuple(p, 9, 65)"
rf,24,"make_tuple(po, 9, 65)"
rf,58,"make_tuple(p, 9, 65)"
rf,9960,"make_tuple(mul(5, xvar), 6, if_gt(p, po, 61, sub(po, 2)))"
rf,3560,"make_tuple(p, 9, 65)"
rf,168868,"make_tuple(p, 9, 65)"
rf,28,"make_tuple(483, if_gt(xvar, 0.15870587081022863, 6, 84), 145)"
rf,9971,"make_tuple(0.8507055812183428, 9, 65)"
rf,45,"make_tuple(168, 9, 65)"
rf,9950,"make_tuple(p, 9, 65)"
rf,168330,"make_tuple(523, 9, add(mul(0.2931593482700411, po), 3))"
rf,168337,"make_tuple(n, 9, 65)"
rf,167120,"make_tuple(483, if_gt(xvar, 0.15870587081022863, 6, 84), 145)"
rf,41,"make_tuple(0.8507055812183428, 9, 65)"
rf,16,"make_tuple(po, 9, 65)"
rf,125921,"make_tuple(483, if_gt(xvar, 0.15870587081022863, 6, 84), 145)"
rf,3485,"make_tuple(0.8507055812183428, 9, 65)"
rf,146817,"make_tuple(po, 9, 65)"
rf,146818,"make_tuple(384, 9, mul(po, 0.4261592760663848))"
rf,18,"make_tuple(m, 9, 145)"
rf,125922,"make_tuple(11, 9, truediv(if_gt(mkd, 0.014292085135027643, p, po), add(mcp, 2)))"
rf,3913,"make_tuple(11, 9, truediv(if_gt(mkd, 0.014292085135027643, p, po), add(mcp, 2)))"
rf,9986,"make_tuple(mul(0.06636297564325812, p), if_gt(0.16062755115342364, xvar, 84, 5), if_gt(rc, mcp, 31, po))"
rf,168911,"make_tuple(850, 9, 145)"
rf,10090,"make_tuple(267, if_gt(0.16194529247868292, xvar, 78, 8), if_gt(xvar, truediv(mkd, 0.012590558134652895), 162, 14))"
rf,14954,"make_tuple(mul(0.06636297564325812, p), if_gt(0.16062755115342364, xvar, 84, 5), if_gt(rc, mcp, 31, po))"
rf,146820,"make_tuple(4, 9, if_gt(mkd, 0.04747027802226967, 3, 145))"
rf,219,"make_tuple(850, 9, 145)"
rf,9985,"make_tuple(m, 9, 145)"
