algorithm,task,expression
rf,9964,"make_tuple(317, max(6, truediv(add(rc, 0.3207883431293665), max(xvar, 0.017150383243148562))), truediv(min(add(p, 1), truediv(370, if_gt(0.04410214390227215, rc, mkd, mul(4, mcp)))), 3))"
rf,189924,"make_tuple(994, if_gt(mul(mcp, mkd), 0.04675305814532975, mul(mcp, add(9, po)), sub(6, rc)), if_gt(pow(mul(0.6258111854641019, rc), rc), mcp, truediv(po, add(2, mcp)), 19))"
rf,14969,"make_tuple(expit(4), if_gt(truediv(101, m), po, 9, 0.02554148279804376), truediv(46, max(min(mcp, rc), truediv(mkd, if_gt(mkd, 0.14778815254750013, truediv(1, 4), sub(0.004721361480099214, rc))))))"
rf,167119,"make_tuple(453, if_gt(mul(mcp, mkd), 0.040901628098636074, add(p, po), sub(6, rc)), if_gt(pow(mul(0.6258111854641019, rc), rc), mcp, truediv(po, add(2, mcp)), 19))"
rf,189927,"make_tuple(truediv(po, m), 8, max(mul(316, if_gt(po, 58, xvar, 0.0012275878478565563)), 14))"
rf,168329,"make_tuple(mul(po, xvar), 6, sub(sub(min(p, truediv(80, add(rc, 0.21900444105687888))), mcp), 5))"
rf,3917,"make_tuple(994, if_gt(mul(mcp, mkd), 0.04675305814532975, mul(mcp, add(9, po)), sub(6, rc)), if_gt(pow(mul(0.6258111854641019, rc), rc), mcp, truediv(po, add(2, mcp)), 19))"
rf,2079,"make_tuple(po, sub(if_gt(po, m, 6, truediv(6, xvar)), rc), if_gt(rc, mcp, 61, add(truediv(p, if_gt(64, po, 3, 0.0016509740200827162)), 0.3352261494836788)))"
rf,29,"make_tuple(10, if_gt(if_gt(mkd, mcp, 0.0010093892412309981, xvar), 0.16133316960569313, 4, 66), truediv(26, max(truediv(mkd, 0.012396319762545993), sub(mcp, xvar))))"
rf,3512,"make_tuple(po, sub(if_gt(po, m, 6, truediv(6, xvar)), rc), if_gt(rc, mcp, 61, add(truediv(p, if_gt(64, po, 3, 0.0016509740200827162)), 0.3352261494836788)))"
rf,146825,"make_tuple(994, if_gt(mul(mcp, mkd), 0.04675305814532975, mul(mcp, add(9, po)), sub(6, rc)), if_gt(pow(mul(0.6258111854641019, rc), rc), mcp, truediv(po, add(2, mcp)), 19))"
rf,14,"make_tuple(expit(4), if_gt(truediv(101, m), po, 9, 0.02554148279804376), truediv(46, max(min(mcp, rc), truediv(mkd, if_gt(mkd, 0.14778815254750013, truediv(1, 4), sub(0.004721361480099214, rc))))))"
rf,146822,"make_tuple(po, sub(if_gt(po, m, 6, truediv(6, xvar)), rc), if_gt(rc, mcp, 61, add(truediv(p, if_gt(64, po, 3, 0.0016509740200827162)), 0.3352261494836788)))"
rf,146824,"make_tuple(9, mul(add(9, if_gt(po, m, xvar, 455)), mcp), max(10, sub(mul(min(387, p), xvar), 27)))"
rf,43,"make_tuple(994, if_gt(mul(mcp, mkd), 0.04675305814532975, mul(mcp, add(9, po)), sub(6, rc)), if_gt(pow(mul(0.6258111854641019, rc), rc), mcp, truediv(po, add(2, mcp)), 19))"
rf,167141,"make_tuple(mul(po, xvar), 6, sub(sub(min(p, truediv(80, add(rc, 0.21900444105687888))), mcp), 5))"
rf,146606,"make_tuple(mul(po, xvar), 6, sub(sub(min(p, truediv(80, add(rc, 0.21900444105687888))), mcp), 5))"
rf,168332,"make_tuple(231, if_gt(xvar, 0.16497869039594537, 5, 71), truediv(26, max(truediv(mkd, 0.012396319762545993), rc)))"
rf,3903,"make_tuple(994, if_gt(mul(mcp, mkd), 0.04675305814532975, mul(mcp, add(9, po)), sub(6, rc)), if_gt(pow(mul(0.6258111854641019, rc), rc), mcp, truediv(po, add(2, mcp)), 19))"
rf,3,"make_tuple(9, mul(add(9, if_gt(po, m, xvar, 455)), mcp), max(10, sub(mul(min(387, p), xvar), 27)))"
rf,168910,"make_tuple(mul(0.004098114124844281, 239), add(8, pow(mcp, m)), truediv(if_gt(rc, mcp, pow(184, rc), add(0.7841124795283866, p)), add(3, mkd)))"
rf,2073,"make_tuple(317, max(6, truediv(add(rc, 0.3207883431293665), max(xvar, 0.017150383243148562))), truediv(min(add(p, 1), truediv(370, if_gt(0.04410214390227215, rc, mkd, mul(4, mcp)))), 3))"
rf,6,"make_tuple(994, if_gt(mul(mcp, mkd), 0.04675305814532975, mul(mcp, add(9, po)), sub(6, rc)), if_gt(pow(mul(0.6258111854641019, rc), rc), mcp, truediv(po, add(2, mcp)), 19))"
rf,168339,"make_tuple(if_gt(n, p, sub(mul(4, xvar), 0.019024543124488088), n), if_gt(rc, 0.022906843230957288, min(max(m, sub(po, 4)), 9), 8), truediv(10, pow(mul(mcp, add(mkd, mcp)), 2)))"
rf,9956,"make_tuple(pow(mul(5, xvar), 2), sub(9, if_gt(2, add(rc, rc), xvar, 13)), truediv(truediv(truediv(truediv(10, add(mcp, mkd)), add(truediv(mcp, m), truediv(mkd, 0.016236392580515353))), mcp), mcp))"
rf,168331,"make_tuple(mul(5, xvar), 6, truediv(mul(pow(12, mcp), xvar), if_gt(mcp, 0.740238078774097, xvar, add(truediv(mkd, 0.3909835872063083), mkd))))"
rf,9977,"make_tuple(335, if_gt(xvar, 0.18153227966901064, 5, 78), truediv(truediv(add(min(63, truediv(po, 8)), truediv(rc, 0.4811099787996328)), mcp), mcp))"
rf,168336,"make_tuple(0.8703865012022518, max(if_gt(mcp, 0.7105494514034988, 39, if_gt(po, m, mkd, 11)), 2), truediv(sub(if_gt(15, truediv(po, mcp), 64, add(xvar, po)), rc), 3))"
rf,3021,"make_tuple(pow(mul(5, xvar), 2), sub(9, if_gt(2, add(rc, rc), xvar, 13)), truediv(truediv(truediv(truediv(10, add(mcp, mkd)), add(truediv(mcp, m), truediv(mkd, 0.016236392580515353))), mcp), mcp))"
rf,24,"make_tuple(pow(mul(5, xvar), 2), sub(9, if_gt(2, add(rc, rc), xvar, 13)), truediv(truediv(truediv(truediv(10, add(mcp, mkd)), add(truediv(mcp, m), truediv(mkd, 0.016236392580515353))), mcp), mcp))"
rf,58,"make_tuple(sub(mul(4, xvar), mkd), 9, min(add(xvar, 147), add(mul(0.29584233561480816, po), 3)))"
rf,9960,"make_tuple(335, if_gt(xvar, 0.18153227966901064, 5, 78), truediv(truediv(add(min(63, truediv(po, 8)), truediv(rc, 0.4811099787996328)), mcp), mcp))"
rf,3560,"make_tuple(mul(xvar, 5), 6, add(0.7813668268322076, truediv(if_gt(mcp, rc, p, 204), add(pow(add(mcp, 0.17589646617747778), 11), 3))))"
rf,168868,"make_tuple(mul(5, xvar), 6, truediv(mul(pow(12, mcp), xvar), if_gt(mcp, 0.740238078774097, xvar, add(truediv(mkd, 0.3909835872063083), mkd))))"
rf,28,"make_tuple(mul(xvar, 5), sub(9, pow(mul(0.12493730116200788, m), neg(rc))), truediv(9, add(mkd, pow(mcp, 5))))"
rf,9971,"make_tuple(sub(mul(4, xvar), mkd), 9, min(add(xvar, 147), add(mul(0.29584233561480816, po), 3)))"
rf,45,"make_tuple(0.8703865012022518, max(if_gt(mcp, 0.7105494514034988, 39, if_gt(po, m, mkd, 11)), 2), truediv(sub(sub(if_gt(15, truediv(po, mcp), 875, add(xvar, po)), 0.09060959030943727), add(rc, rc)), 3))"
rf,9950,"make_tuple(mul(5, xvar), 6, if_gt(p, po, 61, sub(po, 2)))"
rf,168330,"make_tuple(mul(xvar, 5), sub(9, pow(mul(0.12493730116200788, m), neg(rc))), truediv(9, add(mkd, pow(mcp, 5))))"
rf,168337,"make_tuple(sub(mul(xvar, 10), 0.8695432838505621), 6, add(0.7813668268322076, truediv(if_gt(mcp, rc, p, 204), add(pow(add(mcp, 0.17589646617747778), 11), 3))))"
rf,167120,"make_tuple(pow(mul(xvar, 5), 2), 9, truediv(9, pow(add(mkd, mcp), 5)))"
rf,41,"make_tuple(sub(mul(4, xvar), mkd), 9, min(add(xvar, 147), add(mul(0.29584233561480816, po), 3)))"
rf,16,"make_tuple(sub(mul(xvar, 10), 0.8695432838505621), 6, add(0.7813668268322076, truediv(if_gt(mcp, rc, p, 204), add(pow(add(mcp, 0.17589646617747778), 11), 3))))"
rf,125921,"make_tuple(523, 9, add(mul(0.2931593482700411, po), 3))"
rf,3485,"make_tuple(pow(mul(min(xvar, 0.19799234416703276), 5), 2), min(mul(max(po, 9), sub(add(mul(p, 0.007904147224219648), xvar), 0.021579873909899537)), 9), truediv(9, pow(add(mkd, mcp), 5)))"
rf,146817,"make_tuple(0.8703865012022518, max(if_gt(mcp, 0.7105494514034988, 39, if_gt(po, m, mkd, 11)), 2), truediv(sub(if_gt(15, truediv(po, mcp), 64, add(xvar, po)), rc), 3))"
rf,146818,"make_tuple(mul(0.06636297564325812, p), if_gt(0.1617653907919302, xvar, 84, mul(xvar, 5)), if_gt(rc, mcp, 31, po))"
rf,18,"make_tuple(p, if_gt(0.16288326657135577, xvar, 78, sub(if_gt(mkd, 0.011864906293179439, pow(pow(56, xvar), mcp), rc), xvar)), if_gt(xvar, truediv(mkd, 0.012590558134652895), mul(283, xvar), 14))"
rf,125922,"make_tuple(mul(155, xvar), truediv(16, min(mul(if_gt(p, 9, 7, 0.3204003872864666), xvar), m)), 145)"
rf,3913,"make_tuple(expit(4), add(sub(add(sub(8, xvar), mcp), xvar), mcp), if_gt(truediv(mkd, xvar), 0.04905126358401245, if_gt(mkd, 0.15983538779704015, mul(p, 0.30403192695765857), add(mcp, 2)), 162))"
rf,9986,"make_tuple(mul(po, xvar), 9, min(mul(max(xvar, 0.0441180299158029), 333), truediv(if_gt(mkd, 0.014598909620744945, p, po), add(pow(mcp, m), 2))))"
rf,168911,"make_tuple(expit(4), add(sub(add(sub(8, xvar), mcp), xvar), mcp), if_gt(truediv(mkd, xvar), 0.04905126358401245, if_gt(mkd, 0.15983538779704015, mul(p, 0.30403192695765857), add(mcp, 2)), 162))"
rf,10090,"make_tuple(expit(4), add(sub(add(sub(8, xvar), mcp), xvar), mcp), if_gt(truediv(mkd, xvar), 0.04905126358401245, if_gt(mkd, 0.15983538779704015, mul(p, 0.30403192695765857), add(mcp, 2)), 162))"
rf,14954,"make_tuple(mul(po, xvar), 9, min(mul(max(xvar, 0.0441180299158029), 333), truediv(if_gt(mkd, 0.014598909620744945, p, po), add(pow(mcp, m), 2))))"
rf,146820,"make_tuple(p, if_gt(0.16288326657135577, xvar, 78, sub(if_gt(mkd, 0.011864906293179439, pow(pow(56, xvar), mcp), rc), xvar)), if_gt(xvar, truediv(mkd, 0.012590558134652895), mul(283, xvar), 14))"
rf,219,"make_tuple(expit(4), add(sub(add(sub(8, xvar), mcp), xvar), mcp), if_gt(truediv(mkd, xvar), 0.04905126358401245, if_gt(mkd, 0.15983538779704015, mul(p, 0.30403192695765857), add(mcp, 2)), 162))"
rf,9985,"make_tuple(truediv(p, 15), add(5, truediv(rc, xvar)), max(sub(mul(min(p, 367), xvar), 41), 14))"
rf,3022,"make_tuple(mul(po, xvar), 9, min(mul(max(xvar, 0.0441180299158029), 333), truediv(if_gt(mkd, 0.014598909620744945, p, po), add(pow(mcp, m), 2))))"
rf,168335,"make_tuple(mul(xvar, po), mul(if_gt(p, po, 0.524779214910807, mcp), 18), min(145, add(truediv(add(po, 0.8186318699145888), add(2, mcp)), rc)))"
rf,10093,"make_tuple(mul(xvar, po), mul(if_gt(p, po, 0.524779214910807, mcp), 18), min(145, add(truediv(add(po, 0.8186318699145888), add(2, mcp)), rc)))"
rf,167211,"make_tuple(truediv(p, 15), add(5, truediv(rc, xvar)), max(sub(mul(min(p, 367), xvar), 41), 14))"
rf,9952,"make_tuple(mul(0.06636297564325812, p), if_gt(0.16062755115342364, xvar, 84, 5), if_gt(rc, mcp, 31, po))"
rf,23,"make_tuple(p, if_gt(0.16288326657135577, xvar, 78, sub(if_gt(mkd, 0.011864906293179439, pow(pow(56, xvar), mcp), rc), xvar)), if_gt(xvar, truediv(mkd, 0.012590558134652895), mul(283, xvar), 14))"
rf,3493,"make_tuple(expit(4), add(sub(add(sub(8, xvar), mcp), xvar), mcp), if_gt(truediv(mkd, xvar), 0.04905126358401245, if_gt(mkd, 0.15983538779704015, mul(p, 0.30403192695765857), add(mcp, 2)), 162))"
rf,9946,"make_tuple(mul(xvar, po), mul(if_gt(p, po, 0.524779214910807, mcp), 18), min(145, add(truediv(add(po, 0.8186318699145888), add(2, mcp)), rc)))"
rf,37,"make_tuple(p, if_gt(0.16288326657135577, xvar, 78, sub(if_gt(mkd, 0.011864906293179439, pow(pow(56, xvar), mcp), rc), xvar)), if_gt(xvar, truediv(mkd, 0.012590558134652895), mul(283, xvar), 14))"
rf,146819,"make_tuple(truediv(p, 15), add(5, truediv(rc, xvar)), max(sub(mul(min(p, 367), xvar), 41), 14))"
rf,168338,"make_tuple(mul(mul(xvar, add(0.015491153766365225, mcp)), po), mul(add(18, mcp), mcp), add(rc, mul(min(po, 401), 0.4169823286196609)))"
rf,3918,"make_tuple(expit(4), add(sub(add(sub(8, xvar), mcp), xvar), mcp), if_gt(truediv(mkd, xvar), 0.04905126358401245, if_gt(mkd, 0.15983538779704015, mul(p, 0.30403192695765857), add(mcp, 2)), 162))"
