algorithm,task,expression
rpart,14954,"make_tuple(sub(0.0006596905023454307, rc), 22, add(36, m), 64)"
rpart,23,"make_tuple(mul(0.0006517651198353969, xvar), if_gt(m, 48, 2, 21), if_gt(10, m, 25, 74), 46)"
rpart,2074,"make_tuple(if_gt(mul(mcp, n), 468, mul(xvar, 0.0006535452902694453), 0.019121154822389106), 18, 26, 52)"
rpart,22,"make_tuple(mul(0.0006517651198353969, xvar), if_gt(m, 48, 2, 21), if_gt(10, m, 25, 74), 46)"
rpart,9977,"make_tuple(mul(xvar, 0.0006525614271823823), 18, sub(37, if_gt(mcp, 0.5117615273896371, 20, sub(mcp, m))), p)"
rpart,32,"make_tuple(if_gt(mul(mcp, n), 468, mul(xvar, 0.0006535452902694453), 0.019121154822389106), 18, 26, 52)"
rpart,6,"make_tuple(if_gt(m, truediv(n, 380), 0.019273018171678095, mul(xvar, 0.000652075341440579)), 18, 22, 51)"
rpart,168910,"make_tuple(if_gt(mul(mcp, n), 489, 0.0006961388244863752, 0.019121154822389106), 15, 26, po)"
rpart,125921,"make_tuple(mul(0.0009571285502032179, sub(if_gt(473, mul(mcp, n), 20, 1), mcp)), 15, 26, 52)"
rpart,146212,"make_tuple(mul(if_gt(m, truediv(n, 382), 18, xvar), 0.0010507019231742376), 15, 18, po)"
rpart,41,"make_tuple(0.0005150453449516879, 18, add(add(add(m, m), 14), m), 43)"
rpart,146800,"make_tuple(mul(if_gt(m, truediv(n, 382), 18, xvar), 0.0010507019231742376), 15, 18, po)"
rpart,145681,"make_tuple(mul(sub(if_gt(m, truediv(n, 384), 20, 0.9442480909073152), mcp), 0.0009721821803278554), 15, 18, po)"
rpart,167140,"make_tuple(if_gt(m, truediv(n, 361), 0.019273018171678095, 0.0006952726590764541), 18, 22, 51)"
rpart,3481,"make_tuple(0.0005143885567355615, 18, add(14, truediv(m, 0.3341805642091515)), 43)"
rpart,11,"make_tuple(mul(if_gt(m, truediv(n, 382), 18, xvar), 0.0010507019231742376), 15, 18, po)"
rpart,9976,"make_tuple(mul(if_gt(m, truediv(n, 382), 18, xvar), 0.0010507019231742376), 15, 18, po)"
rpart,168908,"make_tuple(if_gt(mul(mcp, n), 468, mul(xvar, 0.0006535452902694453), 0.019121154822389106), 18, 26, 52)"
rpart,168338,"make_tuple(mul(if_gt(m, truediv(n, 382), 18, xvar), 0.0010507019231742376), 15, 18, po)"
rpart,146820,"make_tuple(0.0005143885567355615, 18, add(14, truediv(m, 0.3341805642091515)), 43)"
rpart,49,"make_tuple(sub(if_gt(mcp, 0.020732848289049248, 0.0006957069181203861, 57), rc), 23, 39, 64)"
rpart,18,"make_tuple(mul(if_gt(mul(384, m), n, 29, xvar), 0.0006525066422812299), 21, 26, if_gt(m, p, 111, 51))"
rpart,14965,"make_tuple(sub(0.0006717697218048544, rc), 21, add(add(m, 21), m), 55)"
rpart,2073,"make_tuple(sub(0.0006717697218048544, rc), 21, add(add(m, 21), m), 55)"
