algorithm,task,expression
rpart,14954,"make_tuple(mul(0.0009571285502032179, if_gt(p, 4, sub(if_gt(max(480, p), mul(mcp, n), add(20, 0.5611367568884372), 1), mcp), xvar)), 16, sub(add(add(add(m, m), 14), sub(m, mcp)), mcp), 43)"
rpart,23,"make_tuple(sub(0.0007007435157990046, truediv(rc, p)), add(9, mcp), 18, truediv(max(mul(9, m), p), 0.7007778243542491))"
rpart,2074,"make_tuple(mul(0.0009571285502032179, if_gt(p, 4, sub(if_gt(max(480, p), mul(mcp, n), add(20, 0.5611367568884372), 1), mcp), xvar)), 16, sub(add(add(add(m, m), 14), sub(m, mcp)), mcp), 43)"
rpart,22,"make_tuple(mul(if_gt(po, n, m, max(0.2431609307779506, xvar)), 0.0005284115293792434), 18, max(17, mul(6, m)), min(64, p))"
rpart,9977,"make_tuple(mul(0.0009571285502032179, if_gt(p, 4, sub(if_gt(max(480, p), mul(mcp, n), add(20, 0.5611367568884372), 1), mcp), xvar)), 16, sub(add(add(add(m, m), 14), sub(m, mcp)), mcp), 43)"
rpart,32,"make_tuple(mul(0.0009571285502032179, if_gt(p, 4, sub(if_gt(max(480, p), mul(mcp, n), add(20, 0.5611367568884372), 1), mcp), xvar)), 16, sub(add(add(add(m, m), 14), sub(m, mcp)), mcp), 43)"
rpart,6,"make_tuple(mul(max(if_gt(po, m, 0.1957703720798116, 20), pow(xvar, m)), 0.0006545912655111226), 23, add(add(m, 29), m), 64)"
rpart,168910,"make_tuple(0.0005143885567355615, 18, add(14, truediv(m, 0.3341805642091515)), 43)"
rpart,125921,"make_tuple(mul(xvar, 0.0006525614271823823), 18, sub(37, if_gt(mcp, 0.5117615273896371, 20, sub(mcp, m))), p)"
rpart,146212,"make_tuple(sub(0.0006596905023454307, rc), 22, add(36, m), 64)"
rpart,41,"make_tuple(mul(max(0.19218311569010318, xvar), 0.0006525176926217319), 23, add(add(m, 29), m), 64)"
rpart,146800,"make_tuple(0.0005143885567355615, 18, add(14, truediv(m, 0.3341805642091515)), 43)"
rpart,145681,"make_tuple(mul(0.0006743975105183523, mul(xvar, xvar)), if_gt(m, 49, 2, 21), add(m, if_gt(min(po, 10), m, 18, 54)), 43)"
rpart,167140,"make_tuple(mul(0.0006743975105183523, mul(xvar, xvar)), if_gt(min(m, po), 49, 2, 22), add(m, if_gt(min(po, 10), m, 18, 54)), 43)"
rpart,3481,"make_tuple(sub(0.0007007435157990046, truediv(rc, p)), add(9, mcp), 18, truediv(max(mul(9, m), p), 0.7007778243542491))"
rpart,11,"make_tuple(mul(0.0009571285502032179, if_gt(p, 4, sub(if_gt(max(480, p), mul(mcp, n), add(20, 0.5611367568884372), 1), mcp), xvar)), 16, sub(add(add(add(m, m), 14), sub(m, mcp)), mcp), 43)"
rpart,9976,"make_tuple(sub(0.0006596905023454307, rc), 22, add(36, m), 64)"
rpart,168908,"make_tuple(mul(if_gt(po, n, m, max(0.2431609307779506, xvar)), 0.0005284115293792434), 18, max(17, mul(6, m)), min(64, p))"
rpart,168338,"make_tuple(mul(0.0009571285502032179, if_gt(p, 4, sub(if_gt(max(480, p), mul(mcp, n), add(20, 0.5611367568884372), 1), mcp), xvar)), 16, sub(add(add(add(m, m), 14), sub(m, mcp)), mcp), 43)"
rpart,146820,"make_tuple(sub(0.0006596905023454307, rc), 22, add(36, m), 64)"
rpart,49,"make_tuple(if_gt(po, n, 145, sub(0.0006745277025629302, mul(rc, mkd))), 21, add(if_gt(max(rc, mcp), expit(truediv(rc, xvar)), 13, 36), m), 48)"
rpart,18,"make_tuple(mul(add(if_gt(mul(352, m), n, 28, pow(xvar, m)), 0.042159641851293166), 0.0006726381577605693), sub(21, xvar), 22, if_gt(mul(m, xvar), 5, 122, 45))"
rpart,14965,"make_tuple(sub(if_gt(p, n, 1136, 0.0006722336416142941), mul(rc, mkd)), 21, add(22, if_gt(0.99763801715875, rc, add(m, m), 0.001676712253177894)), 52)"
rpart,2073,"make_tuple(sub(if_gt(n, p, 0.0006856776128292193, 0.016968432309277144), mul(mkd, add(rc, 0.001956439264683556))), 21, add(mul(sub(add(pow(xvar, 6), xvar), rc), m), 23), 48)"
rpart,3913,"make_tuple(sub(if_gt(n, p, 0.0006856776128292193, 0.016968432309277144), mul(mkd, add(rc, 0.001956439264683556))), 21, add(mul(sub(add(pow(xvar, 6), xvar), rc), m), 23), 48)"
rpart,167119,"make_tuple(mul(add(if_gt(mul(352, m), n, 28, pow(xvar, m)), 0.042159641851293166), 0.0006726381577605693), sub(21, xvar), 22, if_gt(mul(m, xvar), 5, 122, 45))"
rpart,14952,"make_tuple(if_gt(po, n, 145, sub(0.0006745277025629302, mul(rc, mkd))), 21, add(if_gt(max(rc, mcp), expit(truediv(rc, xvar)), 13, 36), m), 48)"
rpart,9910,"make_tuple(if_gt(po, n, 145, sub(0.0006745277025629302, mul(rc, mkd))), 21, add(if_gt(max(rc, mcp), expit(truediv(rc, xvar)), 13, 36), m), 48)"
rpart,7592,"make_tuple(mul(if_gt(xvar, 0.20859329593918974, sub(xvar, mcp), 0.14232736631540302), if_gt(max(p, 317), mul(n, mcp), 0.01731498220896658, 0.0012107229574669777)), 21, sub(26, mul(m, rc)), add(max(po, 47), if_gt(m, po, 63, 0.0821170777862914)))"
rpart,9950,"make_tuple(if_gt(po, n, pow(10, 80), sub(0.0006830879674857166, mul(rc, mkd))), 21, add(if_gt(sub(max(rc, mcp), 0.0020581169779707096), expit(truediv(rc, xvar)), add(mul(xvar, xvar), 14), 36), mul(xvar, m)), 48)"
rpart,125920,"make_tuple(mul(max(mul(0.0394271547365817, mcp), if_gt(mul(n, mcp), max(p, 208), sub(xvar, mcp), 14)), 0.0012124656353270811), 21, 22, max(po, sub(121, mul(110, if_gt(mkd, 0.020650628726181102, mcp, pow(xvar, mcp))))))"
rpart,3485,"make_tuple(sub(if_gt(p, n, 1136, 0.0006722336416142941), mul(rc, mkd)), 21, add(23, if_gt(0.99763801715875, rc, add(m, m), sub(0.5410903589747289, m))), 48)"
rpart,9960,"make_tuple(sub(if_gt(n, p, 0.0006856776128292193, 0.016968432309277144), mul(mkd, add(rc, 0.001956439264683556))), 21, add(mul(sub(add(pow(xvar, 6), xvar), rc), m), 23), 48)"
rpart,3573,"make_tuple(if_gt(add(p, mul(323, m)), n, 0.017293368625901827, mul(0.0011748120218337094, sub(pow(xvar, truediv(xvar, mcp)), add(mcp, mkd)))), 21, 22, sub(max(mul(pow(m, xvar), 13), 48), xvar))"
rpart,190411,"make_tuple(mul(add(if_gt(mul(352, m), n, 28, pow(xvar, m)), 0.042159641851293166), 0.0006726381577605693), sub(21, xvar), 22, if_gt(mul(m, xvar), 5, 122, 45))"
rpart,146607,"make_tuple(if_gt(mcp, 0.020320326114525538, sub(0.000687755341247849, mul(mkd, max(rc, 0.00962782059161818))), 0.01697217102959347), 21, sub(39, if_gt(0.8121946667480482, rc, mcp, m)), 55)"
rpart,167125,"make_tuple(if_gt(mcp, 0.020320326114525538, sub(0.000687755341247849, mul(mkd, max(rc, 0.00962782059161818))), 0.01697217102959347), 21, sub(39, if_gt(0.8121946667480482, rc, mcp, m)), 55)"
rpart,3022,"make_tuple(sub(if_gt(n, p, 0.0006856776128292193, 0.016968432309277144), mul(mkd, add(rc, 0.001956439264683556))), 21, add(mul(sub(add(pow(xvar, 6), xvar), rc), m), 23), 48)"
rpart,9964,"make_tuple(if_gt(mcp, 0.0209443301923598, mul(if_gt(0.4319103588821238, min(rc, mcp), 1, 0.05274496652674611), 0.0006717836051800965), p), 21, sub(add(rc, 43), truediv(max(rc, mcp), 0.03866626539565826)), 55)"
rpart,31,"make_tuple(if_gt(po, n, 145, sub(0.0006745277025629302, mul(rc, mkd))), 21, add(if_gt(max(rc, mcp), expit(truediv(rc, xvar)), 13, 36), m), 48)"
rpart,3904,"make_tuple(mul(max(0.042520315652354715, if_gt(add(mul(m, 378), p), n, min(29, p), mul(xvar, xvar))), 0.0006727179444934681), 24, add(if_gt(rc, 0.9960320894228137, 7, 36), m), min(p, 52))"
rpart,3549,"make_tuple(sub(0.0006840188020116405, mul(add(rc, 0.009827492863863346), mkd)), 23, add(max(36, truediv(min(po, pow(m, xvar)), 0.3680795973581003)), m), 64)"
rpart,12,"make_tuple(mul(xvar, 0.0006524224927640313), 21, sub(24, mul(sub(mcp, m), add(sub(xvar, rc), xvar))), 48)"
rpart,125922,"make_tuple(mul(sub(1.0110195154459596, mcp), 0.0009118615392883125), if_gt(n, p, 21, add(xvar, xvar)), add(add(23, mul(xvar, if_gt(max(mkd, 0.10538668233556482), mcp, 58, m))), pow(m, xvar)), 46)"
rpart,3893,"make_tuple(min(truediv(truediv(m, 0.334915940260622), n), 0.017078380133145908), 18, 17, truediv(28, mcp))"
rpart,168909,"make_tuple(min(truediv(truediv(m, 0.334915940260622), n), 0.017078380133145908), 18, 17, truediv(28, mcp))"
rpart,14970,"make_tuple(if_gt(mul(add(po, 372), m), n, 0.01896807996207616, if_gt(mcp, mkd, mul(mul(0.0006961490238873849, xvar), xvar), m)), 18, add(17, xvar), truediv(add(sub(truediv(n, truediv(mcp, xvar)), p), n), 45))"
rpart,9957,"make_tuple(mul(0.0006526624478156676, max(xvar, 0.1962888382891792)), 21, add(add(22, mul(m, add(xvar, 0.22504921316648377))), mul(sub(xvar, rc), m)), if_gt(mcp, 0.09142537864664443, 48, 129))"
