algorithm,task,expression
svm,53,"make_tuple(p, if_gt(if_gt(p, 10, 0.03535674908780058, 749), mkd, mkd, 1.010500680551856))"
svm,22,"make_tuple(11, truediv(mkd, pow(xvar, mcp)))"
svm,2073,"make_tuple(5, truediv(mkd, xvar))"
svm,18,"make_tuple(5, truediv(mkd, xvar))"
svm,9977,"make_tuple(5, truediv(mkd, xvar))"
svm,28,"make_tuple(11, max(truediv(mcp, po), mkd))"
svm,6,"make_tuple(5, truediv(mkd, xvar))"
svm,3549,"make_tuple(11, max(truediv(mcp, po), mkd))"
svm,125922,"make_tuple(5, truediv(mkd, xvar))"
svm,146195,"make_tuple(p, mkd)"
svm,32,"make_tuple(p, if_gt(if_gt(p, 10, 0.03535674908780058, 749), mkd, mkd, 1.010500680551856))"
svm,3918,"make_tuple(11, max(truediv(mcp, po), mkd))"
svm,9986,"make_tuple(5, truediv(mkd, xvar))"
svm,167141,"make_tuple(5, truediv(mkd, xvar))"
svm,3493,"make_tuple(p, if_gt(0.2504065415596598, xvar, 0.036340812956246735, mkd))"
svm,11,"make_tuple(5, truediv(mkd, xvar))"
svm,9976,"make_tuple(5, truediv(mkd, xvar))"
svm,168911,"make_tuple(5, truediv(mkd, xvar))"
svm,3485,"make_tuple(5, truediv(mkd, xvar))"
svm,146800,"make_tuple(p, if_gt(if_gt(p, 10, 0.03535674908780058, 749), mkd, mkd, 1.010500680551856))"
svm,190411,"make_tuple(p, mkd)"
svm,146818,"make_tuple(p, mkd)"
svm,14,"make_tuple(p, mkd)"
svm,43,"make_tuple(p, mkd)"
svm,2079,"make_tuple(p, mkd)"
svm,45,"make_tuple(p, mkd)"
svm,9910,"make_tuple(p, mkd)"
svm,168329,"make_tuple(if_gt(673, n, 66, 11), truediv(mkd, xvar))"
svm,3893,"make_tuple(p, mkd)"
svm,10101,"make_tuple(p, mkd)"
svm,146821,"make_tuple(p, mkd)"
svm,9981,"make_tuple(p, mkd)"
svm,146817,"make_tuple(p, mkd)"
svm,14952,"make_tuple(p, mkd)"
svm,3560,"make_tuple(if_gt(673, n, 66, 11), truediv(mkd, xvar))"
svm,9971,"make_tuple(p, mkd)"
svm,189927,"make_tuple(p, mkd)"
svm,3,"make_tuple(p, mkd)"
svm,146820,"make_tuple(p, mkd)"
svm,219,"make_tuple(p, mkd)"
svm,3902,"make_tuple(if_gt(n, 681, 5, 66), truediv(mkd, xvar))"
svm,125920,"make_tuple(35, truediv(mkd, xvar))"
svm,12,"make_tuple(p, mkd)"
svm,189924,"make_tuple(p, mkd)"
svm,167211,"make_tuple(p, mkd)"
svm,168910,"make_tuple(p, mkd)"
svm,14954,"make_tuple(p, mkd)"
svm,167140,"make_tuple(12, truediv(mkd, pow(xvar, mcp)))"
svm,146212,"make_tuple(p, mkd)"
svm,168909,"make_tuple(p, mkd)"
svm,146824,"make_tuple(p, mkd)"
svm,146819,"make_tuple(if_gt(n, 681, 5, 66), truediv(mkd, xvar))"
svm,3907,"make_tuple(p, if_gt(0.2505095337427554, xvar, 0.03629134725736104, mkd))"
svm,9960,"make_tuple(p, mkd)"
svm,23,"make_tuple(12, truediv(mkd, pow(xvar, mcp)))"
svm,3510,"make_tuple(p, mkd)"
svm,9957,"make_tuple(if_gt(n, 681, 5, 66), truediv(mkd, xvar))"
svm,37,"make_tuple(35, truediv(mkd, xvar))"
svm,168336,"make_tuple(p, if_gt(0.2505095337427554, xvar, 0.03629134725736104, mkd))"
svm,10106,"make_tuple(p, mkd)"
svm,167119,"make_tuple(7, truediv(mkd, xvar))"
svm,168868,"make_tuple(7, truediv(mkd, xvar))"
svm,2074,"make_tuple(7, truediv(mkd, xvar))"
svm,3021,"make_tuple(7, truediv(mkd, xvar))"
