algorithm,task,expression
svm,53,"make_tuple(mul(if_gt(0.5109620985849945, mkd, min(m, po), mul(20490, 31)), 3), max(mkd, truediv(mkd, add(truediv(truediv(mkd, mcp), 0.548513120177716), xvar))))"
svm,22,"make_tuple(min(truediv(m, min(if_gt(po, p, 96, 0.33889661298418533), pow(xvar, rc))), p), max(truediv(mcp, mul(if_gt(mcp, rc, xvar, 1), sub(po, m))), mkd))"
svm,2073,"make_tuple(pow(add(po, 3), max(0.5540634786281636, mul(truediv(4, xvar), mkd))), truediv(mkd, add(truediv(mul(mkd, pow(rc, 7)), 0.1369781506160084), sub(xvar, truediv(mkd, 0.6027727043229774)))))"
svm,18,"make_tuple(pow(add(po, 3), max(0.5540634786281636, mul(truediv(4, xvar), mkd))), truediv(mkd, add(truediv(mul(mkd, pow(rc, 7)), 0.1369781506160084), sub(xvar, truediv(mkd, 0.6027727043229774)))))"
svm,9977,"make_tuple(min(truediv(max(if_gt(p, 808, 2, add(2, m)), 5), mcp), po), truediv(mkd, add(xvar, if_gt(mkd, 0.014679533584859942, sub(if_gt(mcp, 0.28605089205886886, 0.0017999954822621865, mcp), 0.06894257634621663), xvar))))"
svm,28,"make_tuple(pow(add(po, 3), max(0.5540634786281636, mul(truediv(4, xvar), mkd))), truediv(mkd, add(truediv(mul(mkd, pow(rc, 7)), 0.1369781506160084), sub(xvar, truediv(mkd, 0.6027727043229774)))))"
svm,6,"make_tuple(min(po, add(pow(m, add(mul(mkd, 9), add(0.624339729945963, xvar))), 3)), truediv(mkd, add(sub(xvar, mkd), mul(4, mul(mkd, rc)))))"
svm,3549,"make_tuple(min(truediv(max(if_gt(p, 808, 2, add(2, m)), 5), mcp), po), truediv(mkd, add(xvar, if_gt(mkd, 0.014679533584859942, sub(if_gt(mcp, 0.28605089205886886, 0.0017999954822621865, mcp), 0.06894257634621663), xvar))))"
svm,125922,"make_tuple(if_gt(0.21662398550126022, mkd, sub(truediv(4, add(mkd, min(mcp, xvar))), 2), mul(395, po)), if_gt(0.2775274806343469, xvar, 0.025778856442959113, if_gt(mkd, if_gt(p, m, 0.04025231883928581, 1), truediv(po, 7), mkd)))"
svm,146195,"make_tuple(pow(add(po, 3), max(0.5540634786281636, mul(truediv(4, xvar), mkd))), truediv(mkd, add(truediv(mul(mkd, pow(rc, 7)), 0.1369781506160084), sub(xvar, truediv(mkd, 0.6027727043229774)))))"
svm,32,"make_tuple(min(po, add(pow(m, add(mul(mkd, 9), add(0.624339729945963, xvar))), 3)), truediv(mkd, add(sub(xvar, mkd), mul(4, mul(mkd, rc)))))"
svm,3918,"make_tuple(if_gt(0.21662398550126022, mkd, sub(truediv(4, add(mkd, min(mcp, xvar))), 2), mul(395, po)), if_gt(0.2775274806343469, xvar, 0.025778856442959113, if_gt(mkd, if_gt(p, m, 0.04025231883928581, 1), truediv(po, 7), mkd)))"
svm,9986,"make_tuple(pow(add(po, 3), max(0.5540634786281636, mul(truediv(4, xvar), mkd))), truediv(mkd, add(truediv(mul(mkd, pow(rc, 7)), 0.1369781506160084), sub(xvar, truediv(mkd, 0.6027727043229774)))))"
svm,167141,"make_tuple(pow(add(po, 3), max(0.5540634786281636, mul(truediv(4, xvar), mkd))), truediv(mkd, add(truediv(mul(mkd, pow(rc, 7)), 0.1369781506160084), sub(xvar, truediv(mkd, 0.6027727043229774)))))"
svm,3493,"make_tuple(min(truediv(m, min(if_gt(po, p, 96, 0.33889661298418533), pow(xvar, rc))), p), max(truediv(mcp, mul(if_gt(mcp, rc, xvar, 1), sub(po, m))), mkd))"
svm,11,"make_tuple(min(truediv(m, min(if_gt(po, p, 96, 0.33889661298418533), pow(xvar, rc))), p), max(truediv(mcp, mul(if_gt(mcp, rc, xvar, 1), sub(po, m))), mkd))"
svm,9976,"make_tuple(min(truediv(max(if_gt(p, 808, 2, add(2, m)), 5), mcp), po), truediv(mkd, add(xvar, if_gt(mkd, 0.014679533584859942, sub(if_gt(mcp, 0.28605089205886886, 0.0017999954822621865, mcp), 0.06894257634621663), xvar))))"
svm,168911,"make_tuple(mul(if_gt(0.5109620985849945, mkd, min(m, po), mul(20490, 31)), 3), max(mkd, truediv(mkd, add(truediv(truediv(mkd, mcp), 0.548513120177716), xvar))))"
svm,3485,"make_tuple(if_gt(0.21662398550126022, mkd, sub(truediv(4, add(mkd, min(mcp, xvar))), 2), mul(395, po)), if_gt(0.2775274806343469, xvar, 0.025778856442959113, if_gt(mkd, if_gt(p, m, 0.04025231883928581, 1), truediv(po, 7), mkd)))"
