algorithm,task,expression
xgboost,189924,"make_tuple(392, 0.13143203458812874, sub(pow(n, mkd), xvar), 0.0013146254647656247, sub(mcp, 0.02060530777917647), expit(2), 13, mul(2, 0.6972522851825773), 0.8525282149903696, 0.5736614050208584)"
xgboost,14969,"make_tuple(761, 0.07966650697291455, mcp, 0.0008785333946850844, mcp, 0.9112643001143254, 10, add(1, 0.4032639145151193), 0.8850316458068457, 0.5021260241282697)"
xgboost,167119,"make_tuple(761, 0.07966650697291455, mcp, 0.0008785333946850844, mcp, 0.9112643001143254, 10, add(1, 0.4032639145151193), 0.8850316458068457, 0.5021260241282697)"
xgboost,189928,"make_tuple(392, 0.13116227935621486, 1, 0.0013131595975709627, mcp, expit(3), 14, pow(3, 0.3078890079650637), 0.8525214804578951, 0.4687202474241264)"
xgboost,168329,"make_tuple(761, 0.07966650697291455, mcp, 0.0008785333946850844, mcp, 0.9112643001143254, 10, add(1, 0.4032639145151193), 0.8850316458068457, 0.5021260241282697)"
xgboost,3917,"make_tuple(761, 0.07966650697291455, mcp, 0.0008785333946850844, mcp, 0.9112643001143254, 10, add(1, 0.4032639145151193), 0.8850316458068457, 0.5021260241282697)"
xgboost,2079,"make_tuple(332, 0.18606354801011682, 7, 0.0011729761151694983, mcp, expit(3), 10, 2, expit(mcp), 0.4746809105449463)"
xgboost,29,"make_tuple(406, 0.1869131202039268, max(sub(15, m), 0.025349543511972567), 0.002130001272492363, mcp, expit(3), 10, 2, 0.8391847818299779, expit(0))"
xgboost,3512,"make_tuple(332, 0.18606354801011682, 7, 0.0011729761151694983, mcp, expit(3), 10, 2, expit(mcp), 0.4746809105449463)"
xgboost,146825,"make_tuple(392, 0.13116227935621486, 1, 0.0013131595975709627, mcp, expit(3), 14, pow(3, 0.3078890079650637), 0.8525214804578951, 0.4687202474241264)"
xgboost,14,"make_tuple(392, 0.13116227935621486, 1, 0.0013131595975709627, mcp, expit(3), 14, pow(3, 0.3078890079650637), 0.8525214804578951, 0.4687202474241264)"
xgboost,146822,"make_tuple(406, 0.18606945813959896, mul(21, mcp), 0.001173370032034621, add(mcp, mkd), expit(add(3, pow(0.011961873589726594, mcp))), 10, sub(2, max(mkd, 0.06802152097350662)), add(0.02539752556676492, expit(mcp)), 0.47486972820384626)"
