algorithm,task,expression
xgboost,189924,"make_tuple(761, 0.07966650697291455, mcp, 0.0008785333946850844, mcp, 0.9112643001143254, 10, add(1, 0.4032639145151193), 0.8850316458068457, 0.5021260241282697)"
xgboost,14969,"make_tuple(333, 0.1860659580514937, 7, 0.0021296595853030104, mul(mcp, add(0.1705306521626652, mcp)), expit(3), 10, mul(0.6802396367347671, 2), expit(add(rc, mcp)), 0.4757003324279367)"
xgboost,167119,"make_tuple(333, 0.1860659580514937, 7, 0.0021296595853030104, mul(mcp, add(0.1705306521626652, mcp)), expit(3), 10, mul(0.6802396367347671, 2), expit(add(rc, mcp)), 0.4757003324279367)"
xgboost,189928,"make_tuple(406, 0.18606945813959896, mul(21, mcp), 0.001173370032034621, add(mcp, mkd), expit(add(3, pow(0.011961873589726594, mcp))), 10, sub(2, max(mkd, 0.06802152097350662)), add(0.02539752556676492, expit(mcp)), 0.47486972820384626)"
xgboost,168329,"make_tuple(392, 0.13116227935621486, 1, 0.0013131595975709627, mcp, expit(3), 14, pow(3, 0.3078890079650637), 0.8525214804578951, 0.4687202474241264)"
xgboost,3917,"make_tuple(761, 0.07966650697291455, mcp, 0.0008785333946850844, mcp, 0.9112643001143254, 10, add(1, 0.4032639145151193), 0.8850316458068457, 0.5021260241282697)"
xgboost,2079,"make_tuple(406, 0.18606945813959896, mul(21, mcp), 0.001173370032034621, add(mcp, mkd), expit(add(3, pow(0.011961873589726594, mcp))), 10, sub(2, max(mkd, 0.06802152097350662)), add(0.02539752556676492, expit(mcp)), 0.47486972820384626)"
xgboost,29,"make_tuple(333, 0.1860659580514937, 7, 0.0021296595853030104, mul(mcp, add(0.1705306521626652, mcp)), expit(3), 10, mul(0.6802396367347671, 2), expit(add(rc, mcp)), 0.4757003324279367)"
xgboost,3512,"make_tuple(406, 0.18606945813959896, mul(21, mcp), 0.001173370032034621, add(mcp, mkd), expit(add(3, pow(0.011961873589726594, mcp))), 10, sub(2, max(mkd, 0.06802152097350662)), add(0.02539752556676492, expit(mcp)), 0.47486972820384626)"
xgboost,146825,"make_tuple(761, 0.07966650697291455, mcp, 0.0008785333946850844, mcp, 0.9112643001143254, 10, add(1, 0.4032639145151193), 0.8850316458068457, 0.5021260241282697)"
xgboost,14,"make_tuple(392, 0.13116227935621486, 1, 0.0013131595975709627, mcp, expit(3), 14, pow(3, 0.3078890079650637), 0.8525214804578951, 0.4687202474241264)"
xgboost,146822,"make_tuple(392, 0.13143203458812874, sub(pow(n, mkd), xvar), 0.0013146254647656247, sub(mcp, 0.02060530777917647), expit(2), 13, mul(2, 0.6972522851825773), 0.8525282149903696, 0.5736614050208584)"
xgboost,146824,"make_tuple(333, 0.1860659580514937, 7, 0.0021296595853030104, mul(mcp, add(0.1705306521626652, mcp)), expit(3), 10, mul(0.6802396367347671, 2), expit(add(rc, mcp)), 0.4757003324279367)"
xgboost,43,"make_tuple(392, 0.13143203458812874, sub(pow(n, mkd), xvar), 0.0013146254647656247, sub(mcp, 0.02060530777917647), expit(2), 13, mul(2, 0.6972522851825773), 0.8525282149903696, 0.5736614050208584)"
xgboost,167141,"make_tuple(392, 0.13143203458812874, sub(pow(n, mkd), xvar), 0.0013146254647656247, sub(mcp, 0.02060530777917647), expit(2), 13, mul(2, 0.6972522851825773), 0.8525282149903696, 0.5736614050208584)"
xgboost,146606,"make_tuple(333, 0.1860659580514937, 7, 0.0021296595853030104, mul(mcp, add(0.1705306521626652, mcp)), expit(3), 10, mul(0.6802396367347671, 2), expit(add(rc, mcp)), 0.4757003324279367)"
xgboost,168332,"make_tuple(392, 0.13143203458812874, sub(pow(n, mkd), xvar), 0.0013146254647656247, sub(mcp, 0.02060530777917647), expit(2), 13, mul(2, 0.6972522851825773), 0.8525282149903696, 0.5736614050208584)"
xgboost,3903,"make_tuple(333, 0.1860659580514937, 7, 0.0021296595853030104, mul(mcp, add(0.1705306521626652, mcp)), expit(3), 10, mul(0.6802396367347671, 2), expit(add(rc, mcp)), 0.4757003324279367)"
xgboost,3,"make_tuple(406, 0.18606945813959896, mul(21, mcp), 0.001173370032034621, add(mcp, mkd), expit(add(3, pow(0.011961873589726594, mcp))), 10, sub(2, max(mkd, 0.06802152097350662)), add(0.02539752556676492, expit(mcp)), 0.47486972820384626)"
xgboost,3573,"make_tuple(761, 0.07966650697291455, mcp, 0.0008785333946850844, mcp, 0.9112643001143254, 10, add(1, 0.4032639145151193), 0.8850316458068457, 0.5021260241282697)"
xgboost,2073,"make_tuple(392, 0.13143203458812874, sub(pow(n, mkd), xvar), 0.0013146254647656247, sub(mcp, 0.02060530777917647), expit(2), 13, mul(2, 0.6972522851825773), 0.8525282149903696, 0.5736614050208584)"
xgboost,6,"make_tuple(392, 0.13143203458812874, sub(pow(n, mkd), xvar), 0.0013146254647656247, sub(mcp, 0.02060530777917647), expit(2), 13, mul(2, 0.6972522851825773), 0.8525282149903696, 0.5736614050208584)"
xgboost,146818,"make_tuple(406, 0.18606945813959896, mul(21, mcp), 0.001173370032034621, add(mcp, mkd), expit(add(3, pow(0.011961873589726594, mcp))), 10, sub(2, max(mkd, 0.06802152097350662)), add(0.02539752556676492, expit(mcp)), 0.47486972820384626)"
xgboost,18,"make_tuple(392, 0.13116227935621486, 1, 0.0013131595975709627, mcp, expit(3), 14, pow(3, 0.3078890079650637), 0.8525214804578951, 0.4687202474241264)"
xgboost,2074,"make_tuple(332, 0.15534628746521484, truediv(1, xvar), 0.0011172796617508634, mul(mcp, add(mcp, mcp)), expit(3), 13, pow(2, 0.4886647503764212), expit(if_gt(mkd, 0.004294644461302886, 2, mcp)), 0.4908694872597881)"
xgboost,7592,"make_tuple(388, 0.13147125615360206, mul(pow(mkd, xvar), if_gt(0.08846366534481985, xvar, 444, 8)), 0.001931617996817243, mul(add(0.10697851882496685, mcp), mcp), expit(2), 13, pow(3, 0.260264372746268), 0.8476114115169229, 0.6328985723662559)"
