algorithm,task,expression
xgboost,189924,"make_tuple(985, 0.07966650697291455, truediv(mul(if_gt(p, 106, truediv(mcp, xvar), 41), mcp), m), 0.0009032214384756772, min(mcp, xvar), 0.905186987571091, 12, add(1, 0.17810995236426289), 0.8278047582123861, 0.5020128851326713)"
xgboost,14969,"make_tuple(985, 0.07966650697291455, truediv(mul(if_gt(p, 106, truediv(mcp, xvar), 41), mcp), m), 0.0009032214384756772, min(mcp, xvar), 0.905186987571091, 12, add(1, 0.17810995236426289), 0.8278047582123861, 0.5020128851326713)"
xgboost,167119,"make_tuple(406, 0.18606945813959896, mul(21, mcp), 0.001173370032034621, add(mcp, mkd), expit(add(3, pow(0.011961873589726594, mcp))), 10, sub(2, max(mkd, 0.06802152097350662)), add(0.02539752556676492, expit(mcp)), 0.47486972820384626)"
xgboost,189928,"make_tuple(333, 0.1860659580514937, 7, 0.0021296595853030104, mul(mcp, add(0.1705306521626652, mcp)), expit(3), 10, mul(0.6802396367347671, 2), expit(add(rc, mcp)), 0.4757003324279367)"
xgboost,168329,"make_tuple(398, 0.13116227935621486, pow(truediv(1, xvar), mcp), 0.0013131595975709627, mcp, expit(add(2, 0.3593649908897846)), 13, pow(3, 0.3026996360487213), 0.8419625491315705, max(mcp, 0.2967098990629061))"
xgboost,3917,"make_tuple(398, 0.13116227935621486, pow(truediv(1, xvar), mcp), 0.0013131595975709627, mcp, expit(add(2, 0.3593649908897846)), 13, pow(3, 0.3026996360487213), 0.8419625491315705, max(mcp, 0.2967098990629061))"
xgboost,2079,"make_tuple(392, 0.13143203458812874, sub(pow(mul(n, 782), truediv(mkd, xvar)), xvar), min(mkd, 0.0011835106081156876), sub(mcp, 0.02060530777917647), expit(2), sub(15, xvar), mul(2, 0.6972522851825773), 0.8525282149903696, 0.5727526361121293)"
xgboost,29,"make_tuple(985, 0.07966650697291455, truediv(mul(if_gt(p, 106, truediv(mcp, xvar), 41), mcp), m), 0.0009032214384756772, min(mcp, xvar), 0.905186987571091, 12, add(1, 0.17810995236426289), 0.8278047582123861, 0.5020128851326713)"
xgboost,3512,"make_tuple(985, 0.07966650697291455, truediv(mul(if_gt(p, 106, truediv(mcp, xvar), 41), mcp), m), 0.0009032214384756772, min(mcp, xvar), 0.905186987571091, 12, add(1, 0.17810995236426289), 0.8278047582123861, 0.5020128851326713)"
xgboost,146825,"make_tuple(406, 0.18606945813959896, mul(21, mcp), 0.001173370032034621, add(mcp, mkd), expit(add(3, pow(0.011961873589726594, mcp))), 10, sub(2, max(mkd, 0.06802152097350662)), add(0.02539752556676492, expit(mcp)), 0.47486972820384626)"
xgboost,14,"make_tuple(333, 0.1860659580514937, 7, 0.0021296595853030104, mul(mcp, add(0.1705306521626652, mcp)), expit(3), 10, mul(0.6802396367347671, 2), expit(add(rc, mcp)), 0.4757003324279367)"
xgboost,146822,"make_tuple(392, 0.13143203458812874, sub(pow(mul(n, 782), truediv(mkd, xvar)), xvar), min(mkd, 0.0011835106081156876), sub(mcp, 0.0203676555923163), expit(2), 14, mul(2, 0.6904744716937234), 0.8525282149903696, 0.5736614050208584)"
xgboost,146824,"make_tuple(333, 0.1860659580514937, 7, 0.0021296595853030104, mul(mcp, add(0.1705306521626652, mcp)), expit(3), 10, mul(0.6802396367347671, 2), expit(add(rc, mcp)), 0.4757003324279367)"
xgboost,43,"make_tuple(398, 0.13116227935621486, pow(truediv(1, xvar), mcp), 0.0013131595975709627, mcp, expit(add(2, 0.3593649908897846)), 13, pow(3, 0.3026996360487213), 0.8419625491315705, max(mcp, 0.2967098990629061))"
xgboost,167141,"make_tuple(985, 0.07966650697291455, truediv(mul(if_gt(p, 106, truediv(mcp, xvar), 41), mcp), m), 0.0009032214384756772, min(mcp, xvar), 0.905186987571091, 12, add(1, 0.17810995236426289), 0.8278047582123861, 0.5020128851326713)"
xgboost,146606,"make_tuple(392, 0.13143203458812874, sub(pow(mul(n, 782), truediv(mkd, xvar)), xvar), min(mkd, 0.0011835106081156876), sub(mcp, 0.02060530777917647), expit(2), sub(15, xvar), mul(2, 0.6972522851825773), 0.8525282149903696, 0.5727526361121293)"
xgboost,168332,"make_tuple(398, 0.13116227935621486, pow(truediv(1, xvar), mcp), 0.0013131595975709627, mcp, expit(add(2, 0.3593649908897846)), 13, pow(3, 0.3026996360487213), 0.8419625491315705, max(mcp, 0.2967098990629061))"
xgboost,3903,"make_tuple(392, 0.13143203458812874, sub(pow(mul(n, 782), truediv(mkd, xvar)), xvar), min(mkd, 0.0011835106081156876), sub(mcp, 0.0203676555923163), expit(2), 14, mul(2, 0.6904744716937234), 0.8525282149903696, 0.5736614050208584)"
