endresult;expression;gen;inout;length;problem;run;score;search;task
1.0;make_tuple(truediv(max(10, m), add(0.003080588724469144, xvar)), min(truediv(xvar, po), mul(915, mkd)));2.0;in;7.0;svm;f1242166-f452-46c8-875d-a57b33d5318f;0.9037;random_search_300;146195.0
1.0;make_tuple(truediv(max(10, m), add(0.003080588724469144, xvar)), min(truediv(xvar, po), mul(915, mkd)));2.0;out;7.0;svm;f1242166-f452-46c8-875d-a57b33d5318f;0.6088;random_search_300;146195.0
1.0;make_tuple(mul(expit(p), add(m, rc)), truediv(expit(25), sub(po, xvar)));2.0;in;7.0;svm;1bc4524f-f5ff-4ae2-b15a-3cce7b1472a2;0.9035;random_search_300;14954.0
1.0;make_tuple(mul(expit(p), add(m, rc)), truediv(expit(25), sub(po, xvar)));2.0;out;7.0;svm;1bc4524f-f5ff-4ae2-b15a-3cce7b1472a2;0.9348;random_search_300;14954.0
1.0;make_tuple(mul(sub(6, mkd), mul(m, xvar)), truediv(pow(xvar, xvar), sub(po, rc)));2.0;in;7.0;svm;f3cc63a2-679f-4bde-8ede-71243980a85e;0.9045;random_search_300;14.0
1.0;make_tuple(mul(sub(6, mkd), mul(m, xvar)), truediv(pow(xvar, xvar), sub(po, rc)));2.0;out;7.0;svm;f3cc63a2-679f-4bde-8ede-71243980a85e;0.9906;random_search_300;14.0
1.0;make_tuple(max(pow(m, xvar), add(4, xvar)), truediv(pow(xvar, xvar), add(mkd, po)));2.0;in;7.0;svm;e7c73532-bc3f-4a77-b027-6005daac5c58;0.9067;random_search_300;10090.0
1.0;make_tuple(max(pow(m, xvar), add(4, xvar)), truediv(pow(xvar, xvar), add(mkd, po)));2.0;out;7.0;svm;e7c73532-bc3f-4a77-b027-6005daac5c58;0.6855;random_search_300;10090.0
1.0;make_tuple(truediv(m, mcp), truediv(mkd, xvar));2.0;in;3.0;svm;8f5a97c7-2b4a-4508-9b74-f03bf634ca05;0.9039;random_search_300;168910.0
1.0;make_tuple(truediv(m, mcp), truediv(mkd, xvar));2.0;out;3.0;svm;8f5a97c7-2b4a-4508-9b74-f03bf634ca05;0.9554;random_search_300;168910.0
1.0;make_tuple(truediv(po, xvar), truediv(1, po));2.0;in;3.0;svm;586c2a30-9c40-405c-bdbc-d7a0d1a7e9de;0.9029;random_search_300;15.0
1.0;make_tuple(truediv(po, xvar), truediv(1, po));2.0;out;3.0;svm;586c2a30-9c40-405c-bdbc-d7a0d1a7e9de;0.9575;random_search_300;15.0
1.0;make_tuple(mul(m, m), truediv(1, po));2.0;in;3.0;svm;0a05e44a-ca87-4786-b3fd-c4e6b9796ec9;0.9053;random_search_300;41.0
1.0;make_tuple(mul(m, m), truediv(1, po));2.0;out;3.0;svm;0a05e44a-ca87-4786-b3fd-c4e6b9796ec9;0.9799;random_search_300;41.0
1.0;make_tuple(max(truediv(m, m), min(m, 76)), pow(if_gt(mkd, po, mkd, po), neg(1)));2.0;in;7.0;svm;e53e83a5-70e3-4abc-a03f-1c0f75c63c0c;0.9023;random_search_300;9978.0
1.0;make_tuple(max(truediv(m, m), min(m, 76)), pow(if_gt(mkd, po, mkd, po), neg(1)));2.0;out;7.0;svm;e53e83a5-70e3-4abc-a03f-1c0f75c63c0c;0.9705;random_search_300;9978.0
1.0;make_tuple(truediv(m, mcp), truediv(mkd, xvar));2.0;in;3.0;svm;a0f8dbd6-957c-4a2a-8733-4d8ad02500f4;0.9039;random_search_300;9957.0
1.0;make_tuple(truediv(m, mcp), truediv(mkd, xvar));2.0;out;3.0;svm;a0f8dbd6-957c-4a2a-8733-4d8ad02500f4;0.9601;random_search_300;9957.0
1.0;make_tuple(max(m, 3), truediv(mkd, xvar));2.0;in;3.0;svm;ee94d901-0eca-462c-947d-57c8dea0c3af;0.9056;random_search_300;190412.0
1.0;make_tuple(max(m, 3), truediv(mkd, xvar));2.0;out;3.0;svm;ee94d901-0eca-462c-947d-57c8dea0c3af;0.6719;random_search_300;190412.0
1.0;make_tuple(truediv(max(3, mcp), expit(rc)), truediv(expit(173), if_gt(xvar, 0.05534520644562864, po, 7)));2.0;in;7.0;svm;387a080e-18af-4c0c-9791-94d81a8b86cf;0.9058;random_search_300;9981.0
1.0;make_tuple(truediv(max(3, mcp), expit(rc)), truediv(expit(173), if_gt(xvar, 0.05534520644562864, po, 7)));2.0;out;7.0;svm;387a080e-18af-4c0c-9791-94d81a8b86cf;0.9587;random_search_300;9981.0
1.0;make_tuple(add(mcp, m), truediv(mkd, xvar));2.0;in;3.0;svm;bfb796ec-b07a-489c-9c1b-555ee576a53a;0.9027;random_search_300;3.0
1.0;make_tuple(add(mcp, m), truediv(mkd, xvar));2.0;out;3.0;svm;bfb796ec-b07a-489c-9c1b-555ee576a53a;0.9162;random_search_300;3.0
1.0;make_tuple(add(add(m, mkd), truediv(p, po)), truediv(truediv(n, n), add(po, mkd)));2.0;in;7.0;svm;a44a164f-2274-4e73-89cb-b19812f35e86;0.9027;random_search_300;168868.0
1.0;make_tuple(add(add(m, mkd), truediv(p, po)), truediv(truediv(n, n), add(po, mkd)));2.0;out;7.0;svm;a44a164f-2274-4e73-89cb-b19812f35e86;0.9988;random_search_300;168868.0
1.0;make_tuple(add(min(p, m), expit(p)), mul(truediv(mkd, xvar), expit(4)));2.0;in;7.0;svm;5aefe4bc-1c50-4430-b224-fb9d320c1b20;0.9047;random_search_300;219.0
1.0;make_tuple(add(min(p, m), expit(p)), mul(truediv(mkd, xvar), expit(4)));2.0;out;7.0;svm;5aefe4bc-1c50-4430-b224-fb9d320c1b20;0.7986;random_search_300;219.0
1.0;make_tuple(add(rc, m), truediv(1, po));2.0;in;3.0;svm;04fa8eac-4d0b-4bcd-ba2d-86bfee9ee66d;0.9039;random_search_300;23.0
1.0;make_tuple(add(rc, m), truediv(1, po));2.0;out;3.0;svm;04fa8eac-4d0b-4bcd-ba2d-86bfee9ee66d;0.8923;random_search_300;23.0
1.0;make_tuple(add(xvar, m), truediv(mkd, xvar));2.0;in;3.0;svm;92c4b0db-550b-4f8a-b324-c22ef434563a;0.9029;random_search_300;146820.0
1.0;make_tuple(add(xvar, m), truediv(mkd, xvar));2.0;out;3.0;svm;92c4b0db-550b-4f8a-b324-c22ef434563a;0.9932;random_search_300;146820.0
1.0;make_tuple(max(m, xvar), truediv(1, po));2.0;in;3.0;svm;78cc34b1-9f79-4e8d-a8fe-179086d7a587;0.9021;random_search_300;14965.0
1.0;make_tuple(max(m, xvar), truediv(1, po));2.0;out;3.0;svm;78cc34b1-9f79-4e8d-a8fe-179086d7a587;0.9904;random_search_300;14965.0
1.0;make_tuple(max(rc, m), truediv(1, po));2.0;in;3.0;svm;0044de4d-722b-425d-b8f7-293614d3a8d4;0.9027;random_search_300;31.0
1.0;make_tuple(max(rc, m), truediv(1, po));2.0;out;3.0;svm;0044de4d-722b-425d-b8f7-293614d3a8d4;0.9288;random_search_300;31.0
1.0;make_tuple(min(mul(m, 2), add(po, 823)), truediv(expit(xvar), if_gt(mcp, n, mkd, po)));2.0;in;7.0;svm;84ed8a7e-44f7-431d-8ae0-9dd975fe3e3f;0.9033;random_search_300;53.0
1.0;make_tuple(min(mul(m, 2), add(po, 823)), truediv(expit(xvar), if_gt(mcp, n, mkd, po)));2.0;out;7.0;svm;84ed8a7e-44f7-431d-8ae0-9dd975fe3e3f;0.9283;random_search_300;53.0
1.0;make_tuple(add(max(1, m), truediv(n, n)), truediv(neg(mkd), neg(xvar)));2.0;in;7.0;svm;e63e08f1-0843-4053-b5aa-76dcd538d145;0.9036;random_search_300;168911.0
1.0;make_tuple(add(max(1, m), truediv(n, n)), truediv(neg(mkd), neg(xvar)));2.0;out;7.0;svm;e63e08f1-0843-4053-b5aa-76dcd538d145;0.9495;random_search_300;168911.0
1.0;make_tuple(max(mul(m, m), min(mkd, mkd)), truediv(pow(mcp, mcp), if_gt(279, mcp, po, 62)));2.0;in;7.0;svm;ae5fde2a-798c-41c1-9221-30ac14a12e4d;0.9102;random_search_300;3918.0
1.0;make_tuple(max(mul(m, m), min(mkd, mkd)), truediv(pow(mcp, mcp), if_gt(279, mcp, po, 62)));2.0;out;7.0;svm;ae5fde2a-798c-41c1-9221-30ac14a12e4d;0.3011;random_search_300;3918.0
1.0;make_tuple(max(min(m, 9), min(mkd, mcp)), truediv(expit(353), max(mkd, po)));2.0;in;7.0;svm;1ba2b4d6-fbac-4435-9400-d8803ab9be07;0.9029;random_search_300;9986.0
1.0;make_tuple(max(min(m, 9), min(mkd, mcp)), truediv(expit(353), max(mkd, po)));2.0;out;7.0;svm;1ba2b4d6-fbac-4435-9400-d8803ab9be07;0.9976;random_search_300;9986.0
1.0;make_tuple(add(mkd, m), truediv(1, po));2.0;in;3.0;svm;d96a2fb9-b49e-4c07-ae58-cd6abaeec635;0.9019;random_search_300;7592.0
1.0;make_tuple(add(mkd, m), truediv(1, po));2.0;out;3.0;svm;d96a2fb9-b49e-4c07-ae58-cd6abaeec635;0.9939;random_search_300;7592.0
1.0;make_tuple(min(11, m), truediv(mkd, xvar));2.0;in;3.0;svm;c66c2abd-a351-4de7-8b0c-efbf5d631558;0.9047;random_search_300;3561.0
1.0;make_tuple(min(11, m), truediv(mkd, xvar));2.0;out;3.0;svm;c66c2abd-a351-4de7-8b0c-efbf5d631558;0.7189;random_search_300;3561.0
1.0;make_tuple(truediv(min(5, po), truediv(mcp, xvar)), truediv(expit(13), add(rc, po)));2.0;in;7.0;svm;a763a7da-e49c-406a-8382-99cbd88c362a;0.9054;random_search_300;9971.0
1.0;make_tuple(truediv(min(5, po), truediv(mcp, xvar)), truediv(expit(13), add(rc, po)));2.0;out;7.0;svm;a763a7da-e49c-406a-8382-99cbd88c362a;0.8713;random_search_300;9971.0
1.0;make_tuple(add(add(0.0012558282904889062, m), if_gt(mcp, 696, n, mcp)), truediv(expit(n), max(0.01229658823861906, po)));2.0;in;7.0;svm;ab65b422-11a9-4898-86e9-faea63aee673;0.9038;random_search_300;3021.0
