endresult;expression;gen;inout;length;problem;run;score;search;task
1.0;make_tuple(0.030995604946875564, mkd, mkd, mkd, n, 12, xvar, n, po);2.0;in;1.0;xgboost;5f32b1de-152a-4084-b81f-c677c2757671;0.9559;random_search_3000;9970.0
1.0;make_tuple(0.030995604946875564, mkd, mkd, mkd, n, 12, xvar, n, po);2.0;out;1.0;xgboost;5f32b1de-152a-4084-b81f-c677c2757671;0.6543;random_search_3000;9970.0
1.0;make_tuple(0.09290216060674064, 0.0019416232204248758, 0.01198199767155574, 0.00427154875722142, p, po, xvar, po, n);2.0;in;1.0;xgboost;854bc935-35a2-40b2-8540-638593363cad;0.9536;random_search_3000;125921.0
1.0;make_tuple(0.09290216060674064, 0.0019416232204248758, 0.01198199767155574, 0.00427154875722142, p, po, xvar, po, n);2.0;out;1.0;xgboost;854bc935-35a2-40b2-8540-638593363cad;0.911;random_search_3000;125921.0
1.0;make_tuple(0.11058799097492439, xvar, mkd, xvar, po, po, xvar, po, n);2.0;in;1.0;xgboost;903d561f-4410-43a5-9f2c-a31b2f217ce4;0.9517;random_search_3000;7592.0
1.0;make_tuple(0.11058799097492439, xvar, mkd, xvar, po, po, xvar, po, n);2.0;out;1.0;xgboost;903d561f-4410-43a5-9f2c-a31b2f217ce4;0.9682;random_search_3000;7592.0
1.0;make_tuple(0.11339093678863771, rc, mcp, mkd, 3, po, xvar, 0.7503513146076829, p);2.0;in;1.0;xgboost;1aeea230-dd68-4618-8e0e-5a9a50b6649a;0.9517;random_search_3000;9978.0
1.0;make_tuple(0.11339093678863771, rc, mcp, mkd, 3, po, xvar, 0.7503513146076829, p);2.0;out;1.0;xgboost;1aeea230-dd68-4618-8e0e-5a9a50b6649a;0.987;random_search_3000;9978.0
1.0;make_tuple(0.12437864121980005, xvar, 0.0013320020352925504, mcp, n, po, xvar, n, po);2.0;in;1.0;xgboost;43ad52a4-d530-419b-aa1f-611f40c06f1f;0.9529;random_search_3000;168332.0
1.0;make_tuple(0.12437864121980005, xvar, 0.0013320020352925504, mcp, n, po, xvar, n, po);2.0;out;1.0;xgboost;43ad52a4-d530-419b-aa1f-611f40c06f1f;0.9598;random_search_3000;168332.0
1.0;make_tuple(0.0488881144786229, xvar, 0.031664752683826715, mcp, po, 472, xvar, p, p);2.0;in;1.0;xgboost;1488f89a-b5e8-4a85-bf25-0a3b4de66730;0.9523;random_search_3000;146820.0
1.0;make_tuple(0.0488881144786229, xvar, 0.031664752683826715, mcp, po, 472, xvar, p, p);2.0;out;1.0;xgboost;1488f89a-b5e8-4a85-bf25-0a3b4de66730;0.986;random_search_3000;146820.0
1.0;make_tuple(0.07603279787986993, mcp, mcp, mkd, po, 172, xvar, po, p);2.0;in;1.0;xgboost;001a29e6-9d05-4c94-a912-103b23cc317f;0.9515;random_search_3000;146822.0
1.0;make_tuple(0.07603279787986993, mcp, mcp, mkd, po, 172, xvar, po, p);2.0;out;1.0;xgboost;001a29e6-9d05-4c94-a912-103b23cc317f;0.9941;random_search_3000;146822.0
1.0;make_tuple(0.061887968970900216, mkd, rc, mcp, p, n, xvar, p, m);2.0;in;1.0;xgboost;e354809d-1627-47ff-9bfe-9fbfe6e1a2ee;0.9508;random_search_3000;146800.0
1.0;make_tuple(0.061887968970900216, mkd, rc, mcp, p, n, xvar, p, m);2.0;out;1.0;xgboost;e354809d-1627-47ff-9bfe-9fbfe6e1a2ee;0.987;random_search_3000;146800.0
1.0;make_tuple(0.061841671399332776, 0.19531792678690874, mcp, mkd, p, p, xvar, 30, m);2.0;in;1.0;xgboost;66fa1638-e997-47eb-b24e-a032d8d47c99;0.9515;random_search_3000;3917.0
1.0;make_tuple(0.061841671399332776, 0.19531792678690874, mcp, mkd, p, p, xvar, 30, m);2.0;out;1.0;xgboost;66fa1638-e997-47eb-b24e-a032d8d47c99;0.9738;random_search_3000;3917.0
1.0;make_tuple(0.14204882866158267, mcp, mcp, xvar, m, 390, xvar, 166, p);2.0;in;1.0;xgboost;2abc6825-ce97-4eee-a1ee-73ba614cfa35;0.9499;random_search_3000;29.0
1.0;make_tuple(0.14204882866158267, mcp, mcp, xvar, m, 390, xvar, 166, p);2.0;out;1.0;xgboost;2abc6825-ce97-4eee-a1ee-73ba614cfa35;0.9308;random_search_3000;29.0
1.0;make_tuple(0.041770768638130326, mkd, 0.27730851961705955, mkd, n, n, xvar, m, n);2.0;in;1.0;xgboost;7d8944ec-75cc-4461-ad0c-16dc7b9c7f4d;0.9516;random_search_3000;9981.0
1.0;make_tuple(0.041770768638130326, mkd, 0.27730851961705955, mkd, n, n, xvar, m, n);2.0;out;1.0;xgboost;7d8944ec-75cc-4461-ad0c-16dc7b9c7f4d;0.9641;random_search_3000;9981.0
1.0;make_tuple(0.12326585225328487, xvar, rc, mkd, po, 287, xvar, m, p);2.0;in;1.0;xgboost;a6e14e88-c838-43e9-b6af-6768e6089a0b;0.951;random_search_3000;146818.0
1.0;make_tuple(0.12326585225328487, xvar, rc, mkd, po, 287, xvar, m, p);2.0;out;1.0;xgboost;a6e14e88-c838-43e9-b6af-6768e6089a0b;0.96;random_search_3000;146818.0
1.0;make_tuple(0.14819859715768824, xvar, 0.00724335119358236, mkd, p, 169, xvar, 0.8827417798315021, mcp);2.0;in;1.0;xgboost;177dfc5f-5213-4633-8784-2cafc8316aa2;0.9524;random_search_3000;168331.0
1.0;make_tuple(0.14819859715768824, xvar, 0.00724335119358236, mkd, p, 169, xvar, 0.8827417798315021, mcp);2.0;out;1.0;xgboost;177dfc5f-5213-4633-8784-2cafc8316aa2;0.9844;random_search_3000;168331.0
1.0;make_tuple(0.03180014080255119, 0.006643756565850536, mkd, 0.012731660167322568, m, po, xvar, p, 12);2.0;in;1.0;xgboost;d18edd2d-e960-4d06-b659-2cd4b5b2c619;0.9518;random_search_3000;168336.0
1.0;make_tuple(0.03180014080255119, 0.006643756565850536, mkd, 0.012731660167322568, m, po, xvar, p, 12);2.0;out;1.0;xgboost;d18edd2d-e960-4d06-b659-2cd4b5b2c619;0.9978;random_search_3000;168336.0
1.0;make_tuple(0.09571985878186313, 0.2068802700895053, mkd, mcp, n, n, xvar, po, po);2.0;in;1.0;xgboost;c0028bfd-cb63-4c13-b938-e5061746d72c;0.9524;random_search_3000;146606.0
1.0;make_tuple(0.09571985878186313, 0.2068802700895053, mkd, mcp, n, n, xvar, po, po);2.0;out;1.0;xgboost;c0028bfd-cb63-4c13-b938-e5061746d72c;0.9754;random_search_3000;146606.0
1.0;make_tuple(0.11372376031637793, mkd, mkd, mcp, p, n, xvar, p, po);2.0;in;1.0;xgboost;24da9d1e-deac-48da-904f-8393ff9ccee6;0.9521;random_search_3000;189927.0
1.0;make_tuple(0.11372376031637793, mkd, mkd, mcp, p, n, xvar, p, po);2.0;out;1.0;xgboost;24da9d1e-deac-48da-904f-8393ff9ccee6;0.9737;random_search_3000;189927.0
1.0;make_tuple(0.031313572457364845, rc, mcp, mcp, 0.6757923464204577, 81, mcp, n, n);2.0;in;1.0;xgboost;2712ead8-374a-490b-9ffd-83c4b4668a5a;0.9476;random_search_3000;168908.0
1.0;make_tuple(0.031313572457364845, rc, mcp, mcp, 0.6757923464204577, 81, mcp, n, n);2.0;out;1.0;xgboost;2712ead8-374a-490b-9ffd-83c4b4668a5a;0.9598;random_search_3000;168908.0
1.0;make_tuple(0.09225766509903688, mcp, rc, mcp, 2, po, xvar, 19, p);2.0;in;1.0;xgboost;72e6b8c1-4d96-4721-8691-8cf38ad9fcc0;0.956;random_search_3000;3493.0
1.0;make_tuple(0.09225766509903688, mcp, rc, mcp, 2, po, xvar, 19, p);2.0;out;1.0;xgboost;72e6b8c1-4d96-4721-8691-8cf38ad9fcc0;0.4748;random_search_3000;3493.0
1.0;make_tuple(0.06759835671434747, xvar, mcp, xvar, n, 393, xvar, n, mcp);2.0;in;1.0;xgboost;074d56c4-c23b-41b7-98f3-9f401638172a;0.9513;random_search_3000;168339.0
1.0;make_tuple(0.06759835671434747, xvar, mcp, xvar, n, 393, xvar, n, mcp);2.0;out;1.0;xgboost;074d56c4-c23b-41b7-98f3-9f401638172a;0.9633;random_search_3000;168339.0
1.0;make_tuple(0.08321319391322499, xvar, mcp, xvar, p, n, xvar, 558, p);2.0;in;1.0;xgboost;f5488521-e46d-455a-b89f-60d36c160943;0.9501;random_search_3000;189928.0
1.0;make_tuple(0.08321319391322499, xvar, mcp, xvar, p, n, xvar, 558, p);2.0;out;1.0;xgboost;f5488521-e46d-455a-b89f-60d36c160943;0.9825;random_search_3000;189928.0
1.0;make_tuple(0.15045758141883303, 0.05802523753314446, mkd, mcp, p, po, xvar, n, po);2.0;in;1.0;xgboost;2740c17e-011e-4fbb-bc90-371676ea6bfa;0.953;random_search_3000;9971.0
1.0;make_tuple(0.15045758141883303, 0.05802523753314446, mkd, mcp, p, po, xvar, n, po);2.0;out;1.0;xgboost;2740c17e-011e-4fbb-bc90-371676ea6bfa;0.8587;random_search_3000;9971.0
1.0;make_tuple(0.05184615665248289, mcp, 0.07850732572498223, 0.2013001348530471, m, n, xvar, 3, n);2.0;in;1.0;xgboost;d8d340bb-28d9-4e32-9e6a-0491f7504b41;0.9529;random_search_3000;167121.0
1.0;make_tuple(0.05184615665248289, mcp, 0.07850732572498223, 0.2013001348530471, m, n, xvar, 3, n);2.0;out;1.0;xgboost;d8d340bb-28d9-4e32-9e6a-0491f7504b41;0.9001;random_search_3000;167121.0
1.0;make_tuple(0.0468223380552143, rc, 0.003147002146164533, mkd, p, po, 0.5810634190372269, 2, n);2.0;in;1.0;xgboost;d53b7c9f-4240-4fa1-b04b-33197736a125;0.9521;random_search_3000;146825.0
1.0;make_tuple(0.0468223380552143, rc, 0.003147002146164533, mkd, p, po, 0.5810634190372269, 2, n);2.0;out;1.0;xgboost;d53b7c9f-4240-4fa1-b04b-33197736a125;0.9808;random_search_3000;146825.0
1.0;make_tuple(0.051152846798087404, mkd, 0.002412904587862226, mkd, n, 97, 0.48538613334908565, n, m);2.0;in;1.0;xgboost;d5e543ce-b5fd-4dec-9cd3-01fad7dd992f;0.9526;random_search_3000;53.0
1.0;make_tuple(0.051152846798087404, mkd, 0.002412904587862226, mkd, n, 97, 0.48538613334908565, n, m);2.0;out;1.0;xgboost;d5e543ce-b5fd-4dec-9cd3-01fad7dd992f;0.945;random_search_3000;53.0
1.0;make_tuple(0.06299908577501388, xvar, mcp, mcp, 30, n, xvar, po, m);2.0;in;1.0;xgboost;2ab1cb25-6f26-4459-b517-a6720f8c763a;0.951;random_search_3000;3918.0
1.0;make_tuple(0.06299908577501388, xvar, mcp, mcp, 30, n, xvar, po, m);2.0;out;1.0;xgboost;2ab1cb25-6f26-4459-b517-a6720f8c763a;0.9864;random_search_3000;3918.0
1.0;make_tuple(0.12127815482861032, 0.13863301116199936, mkd, mkd, p, 7, xvar, 163, m);2.0;in;1.0;xgboost;11761327-899b-44a9-bc25-bbc3cf2ef373;0.953;random_search_3000;9976.0
