,num.impute.selected.cpo,num.trees,replace,sample.fraction,respect.unordered.factors,min.node.size,splitrule,num.random.splits,mtry
24.0,impute.mean,1454.0,TRUE,0.756566,order,12.0,gini,,37.0
146212.0,impute.mean,1232.0,TRUE,0.943984,ignore,98.0,gini,,2.0
10106.0,impute.hist,1581.0,TRUE,0.745304,ignore,1.0,gini,,4.0
9960.0,impute.hist,1480.0,TRUE,0.825672,order,14.0,gini,,24.0
3907.0,impute.mean,170.0,TRUE,0.270051,order,91.0,gini,,3.0
3893.0,impute.hist,1127.0,TRUE,0.84281,ignore,1.0,gini,,8.0
167211.0,impute.hist,1127.0,TRUE,0.84281,ignore,1.0,gini,,8.0
168868.0,impute.mean,170.0,TRUE,0.270051,order,91.0,gini,,3.0
10093.0,impute.hist,1227.0,TRUE,0.247907,order,1.0,gini,,4.0
3.0,impute.mean,1454.0,TRUE,0.756566,order,12.0,gini,,97.0
3021.0,impute.median,1689.0,TRUE,0.843151,order,10.0,gini,,32.0
146821.0,impute.mean,1434.0,TRUE,0.876752,order,3.0,gini,,8.0
146820.0,impute.mean,273.0,TRUE,0.562726,order,6.0,gini,,6.0
9986.0,impute.hist,1677.0,TRUE,0.867918,partition,2.0,gini,,12.0
168338.0,impute.median,270.0,TRUE,0.757032,ignore,7.0,gini,,194.0
32.0,impute.hist,1677.0,TRUE,0.867918,partition,2.0,gini,,6.0
3945.0,impute.mean,1906.0,TRUE,0.228425,ignore,3.0,gini,,3.0
146822.0,impute.mean,1434.0,TRUE,0.876752,order,3.0,gini,,68.0
14952.0,impute.mean,1434.0,TRUE,0.876752,order,3.0,gini,,32.0
167125.0,impute.median,1689.0,TRUE,0.843151,order,10.0,gini,,32.0
9977.0,impute.hist,452.0,TRUE,0.858646,order,4.0,gini,,5.0
15.0,impute.mean,529.0,TRUE,0.820648,order,29.0,gini,,3.0
49.0,impute.mean,1434.0,TRUE,0.876752,order,3.0,gini,,6.0
14970.0,impute.median,1186.0,TRUE,0.665584,order,6.0,gini,,50.0
3549.0,impute.hist,452.0,TRUE,0.858646,order,4.0,gini,,18.0
9946.0,impute.hist,452.0,TRUE,0.858646,order,4.0,gini,,19.0
125922.0,impute.mean,1434.0,TRUE,0.876752,order,3.0,gini,,57.0
41.0,impute.median,233.0,TRUE,0.530331,ignore,54.0,gini,,2.0
3485.0,impute.median,1662.0,TRUE,0.999656,order,53.0,gini,,11.0
3493.0,impute.mean,1434.0,TRUE,0.876752,order,3.0,gini,,8.0
45.0,impute.hist,1677.0,TRUE,0.867918,partition,2.0,gini,,8.0
3512.0,impute.mean,1434.0,TRUE,0.876752,order,3.0,gini,,68.0
9978.0,impute.hist,213.0,TRUE,0.95829,ignore,1.0,gini,,11.0
43.0,impute.hist,1127.0,TRUE,0.84281,ignore,1.0,gini,,5.0
168912.0,impute.hist,1730.0,TRUE,0.983114,partition,24.0,gini,,293.0
167141.0,impute.hist,677.0,TRUE,0.707505,ignore,4.0,gini,,13.0
28.0,impute.mean,1434.0,TRUE,0.876752,order,3.0,gini,,57.0
168335.0,impute.hist,452.0,TRUE,0.858646,order,4.0,gini,,6.0
146819.0,impute.median,913.0,TRUE,0.995735,partition,3.0,gini,,1.0
3918.0,impute.median,913.0,TRUE,0.995735,partition,3.0,gini,,1.0
167140.0,impute.mean,1434.0,TRUE,0.876752,order,3.0,gini,,32.0
3902.0,impute.median,913.0,TRUE,0.995735,partition,3.0,gini,,1.0
14965.0,impute.hist,1275.0,TRUE,0.822126,order,88.0,gini,,4.0
34539.0,impute.median,593.0,TRUE,0.907919,order,100.0,gini,,7.0
3510.0,impute.hist,1677.0,TRUE,0.867918,partition,2.0,gini,,7.0
219.0,impute.hist,677.0,TRUE,0.707505,ignore,4.0,gini,,13.0
12.0,impute.hist,1677.0,TRUE,0.867918,partition,2.0,gini,,42.0
146824.0,impute.hist,1677.0,TRUE,0.867918,partition,2.0,gini,,39.0
9952.0,impute.mean,1348.0,TRUE,0.855423,partition,3.0,gini,,3.0
3573.0,impute.hist,342.0,TRUE,0.938262,partition,8.0,gini,,44.0
3903.0,impute.hist,452.0,TRUE,0.858646,order,4.0,gini,,17.0
2074.0,impute.hist,342.0,TRUE,0.938262,partition,8.0,gini,,16.0
146800.0,impute.hist,213.0,TRUE,0.95829,ignore,1.0,gini,,30.0
6.0,impute.hist,452.0,TRUE,0.858646,order,4.0,gini,,158.0
7592.0,impute.median,593.0,TRUE,0.907919,order,100.0,gini,,7.0
9981.0,impute.hist,213.0,TRUE,0.95829,ignore,1.0,gini,,99.0
167119.0,impute.mean,1232.0,TRUE,0.943984,ignore,98.0,gini,,2.0
168336.0,impute.median,593.0,TRUE,0.907919,order,100.0,gini,,7.0
9957.0,impute.hist,1127.0,TRUE,0.84281,ignore,1.0,gini,,5.0
190411.0,impute.hist,452.0,TRUE,0.858646,order,4.0,gini,,19.0
146818.0,impute.mean,511.0,TRUE,0.489966,order,25.0,gini,,9.0
146607.0,impute.median,270.0,TRUE,0.757032,ignore,7.0,gini,,7.0
29.0,impute.hist,652.0,TRUE,0.248894,ignore,11.0,gini,,10.0
3917.0,impute.mean,2941.0,TRUE,0.229725,partition,87.0,gini,,15.0
168909.0,impute.hist,452.0,TRUE,0.858646,order,4.0,gini,,146.0
16.0,impute.mean,1434.0,TRUE,0.876752,order,3.0,gini,,67.0
3481.0,impute.hist,1677.0,TRUE,0.867918,partition,2.0,gini,,7.0
146825.0,impute.median,153.0,TRUE,0.916454,ignore,22.0,gini,,462.0
3913.0,impute.median,517.0,TRUE,0.446938,order,1.0,gini,,5.0
3022.0,impute.mean,1434.0,TRUE,0.876752,order,3.0,gini,,32.0
58.0,impute.mean,1434.0,TRUE,0.876752,order,3.0,gini,,25.0
