algorithm,task,expression
knn,146820,"make_tuple(add(pow(n, mcp), if_gt(po, m, truediv(po, 9), 141)), 48, n, 181)"
knn,9971,"make_tuple(max(m, mul(9, pow(p, mcp))), 47, n, 156)"
knn,3573,"make_tuple(if_gt(if_gt(0.5659701657022654, mcp, 568, p), p, 16, 438), 45, n, 181)"
knn,14971,"make_tuple(max(pow(20, xvar), truediv(pow(226, mcp), xvar)), 32, 625, 155)"
knn,167121,"make_tuple(if_gt(604, p, add(pow(mul(p, 47), mcp), m), n), 53, 733, 180)"
knn,189928,"make_tuple(pow(pow(17, mcp), m), 47, n, 198)"
knn,168336,"make_tuple(add(pow(n, mcp), if_gt(po, m, truediv(po, 9), 141)), 48, n, 181)"
knn,3945,"make_tuple(add(pow(54, mcp), 21), 32, n, 139)"
knn,31,"make_tuple(max(if_gt(rc, 0.01790532132628179, mcp, m), mul(p, if_gt(0.19235739834175508, mcp, 0.07194996811030437, m))), 57, n, 208)"
knn,32,"make_tuple(add(12, if_gt(truediv(mcp, xvar), 0.5965803723654326, 47, m)), 33, n, 154)"
knn,190411,"make_tuple(add(pow(54, mcp), 21), 32, n, 139)"
knn,168331,"make_tuple(pow(pow(17, mcp), m), 47, n, 198)"
knn,14,"make_tuple(if_gt(p, 611, p, add(17, pow(81, mcp))), 37, n, 198)"
knn,7592,"make_tuple(add(pow(13, xvar), if_gt(truediv(mcp, xvar), 0.5907706606240252, 606, m)), 33, n, 153)"
knn,168330,"make_tuple(max(m, mul(9, pow(p, mcp))), 47, n, 156)"
knn,49,"make_tuple(max(pow(20, xvar), truediv(pow(226, mcp), xvar)), 32, 625, 155)"
knn,9964,"make_tuple(max(pow(20, xvar), truediv(pow(226, mcp), xvar)), 32, 625, 155)"
knn,9910,"make_tuple(add(pow(54, mcp), 21), 32, n, 139)"
knn,168335,"make_tuple(if_gt(0.5803802230430687, mcp, 20, 454), 32, n, 162)"
knn,3907,"make_tuple(max(m, mul(9, pow(p, mcp))), 47, n, 156)"
knn,3,"make_tuple(if_gt(p, 611, p, add(17, pow(81, mcp))), 37, n, 198)"
knn,125920,"make_tuple(max(pow(20, xvar), truediv(pow(226, mcp), xvar)), 32, 625, 155)"
knn,28,"make_tuple(max(m, mul(p, if_gt(0.19115877770471656, mcp, 0.07180286998422311, m))), 57, n, 181)"
knn,168910,"make_tuple(mul(pow(112, mcp), m), 47, n, 249)"
knn,3022,"make_tuple(truediv(max(27, m), xvar), 34, n, 170)"
knn,3512,"make_tuple(add(19, if_gt(p, 574, 77, pow(81, mcp))), 46, n, 173)"
knn,12,"make_tuple(36, 55, n, 484)"
knn,167141,"make_tuple(truediv(max(27, m), pow(xvar, mcp)), 34, n, 170)"
knn,146212,"make_tuple(add(pow(p, mul(mcp, 3)), mul(xvar, m)), 32, 556, 143)"
