algorithm,task,expression
knn,146820,"make_tuple(max(truediv(p, 14), add(sub(add(24, add(0.029924496289045272, xvar)), if_gt(po, m, add(22, rc), sub(0.001261117658455052, p))), pow(mul(truediv(p, mkd), m), mcp))), 58, n, 172)"
knn,9971,"make_tuple(max(max(pow(max(mul(m, 0.5949832957404994), 16), xvar), truediv(pow(truediv(153, xvar), mcp), xvar)), mul(p, 0.03444606254797049)), 46, 555, 162)"
knn,3573,"make_tuple(if_gt(truediv(po, 8), 20, mul(mcp, p), max(mul(sub(m, po), mul(mcp, 82)), mul(6, sub(pow(p, mcp), rc)))), p, n, 198)"
knn,14971,"make_tuple(add(mul(13, sub(xvar, max(pow(rc, mcp), mkd))), add(if_gt(truediv(if_gt(mcp, mkd, mcp, po), xvar), 0.5992978074382511, n, m), mcp)), truediv(33, xvar), mul(0.0021744390674784285, mul(if_gt(m, po, 108, p), n)), 153)"
knn,167121,"make_tuple(sub(max(if_gt(0.09114571296118244, mcp, mul(0.5955173865991432, pow(m, xvar)), 13), mul(add(27, sub(po, mcp)), sub(if_gt(mcp, xvar, po, mcp), 0.013525100414311965))), rc), 54, 558, 180)"
knn,189928,"make_tuple(pow(pow(12, max(mul(xvar, 0.13762440861796305), add(if_gt(n, po, mcp, xvar), sub(0.005627148388361081, 0.0389264203161925)))), min(add(m, mul(rc, 87)), 10)), 32, 558, 118)"
knn,168336,"make_tuple(if_gt(po, 609, po, add(if_gt(m, po, 210, pow(6, xvar)), pow(mul(mul(p, m), p), mcp))), 45, truediv(n, 6), 718)"
knn,3945,"make_tuple(add(pow(add(mul(xvar, m), mcp), xvar), mul(if_gt(add(add(0.21085056242289077, mcp), mcp), 0.6742267039414387, m, truediv(if_gt(11, po, 19, 0.014329885774072562), xvar)), p)), 47, n, 768)"
knn,31,"make_tuple(if_gt(truediv(po, 8), 20, mul(mcp, p), max(mul(sub(m, po), mul(mcp, 82)), mul(6, sub(pow(p, mcp), rc)))), p, n, 198)"
knn,32,"make_tuple(max(max(pow(max(mul(m, 0.5949832957404994), 16), xvar), truediv(pow(truediv(153, xvar), mcp), xvar)), mul(p, 0.03444606254797049)), 46, 555, 162)"
knn,190411,"make_tuple(add(add(if_gt(truediv(p, xvar), 39, pow(po, max(mcp, 0.4638629205709158)), add(add(m, po), po)), pow(p, mcp)), add(if_gt(po, m, 0.1432390516060522, 19), sub(if_gt(mcp, xvar, 28, xvar), rc))), 47, sub(n, 424), 604)"
knn,168331,"make_tuple(pow(pow(12, max(mul(xvar, 0.13762440861796305), add(if_gt(n, po, mcp, xvar), sub(0.005627148388361081, 0.0389264203161925)))), min(add(m, mul(rc, 87)), 10)), 32, 558, 118)"
knn,14,"make_tuple(sub(max(if_gt(171, if_gt(m, po, 1120, p), truediv(27, truediv(0.4786535420101107, mcp)), truediv(35, xvar)), mul(m, xvar)), rc), 58, mul(864, po), 262)"
knn,7592,"make_tuple(truediv(max(16, m), if_gt(mul(0.6054106439657092, xvar), if_gt(if_gt(mcp, mkd, 672, mkd), po, mcp, 297), pow(if_gt(mkd, rc, xvar, 785), truediv(mkd, 0.0648090096672674)), 0.012779664002278947)), 46, 554, 207)"
knn,168330,"make_tuple(if_gt(truediv(po, 8), 20, mul(mcp, p), max(mul(sub(m, po), mul(mcp, 82)), mul(6, sub(pow(p, mcp), rc)))), p, n, 198)"
knn,49,"make_tuple(sub(max(if_gt(0.09114571296118244, mcp, mul(0.5955173865991432, pow(m, xvar)), 13), mul(add(27, sub(po, mcp)), sub(if_gt(mcp, xvar, po, mcp), 0.013525100414311965))), rc), 54, 558, 180)"
knn,9964,"make_tuple(add(pow(add(mul(xvar, m), mcp), xvar), mul(if_gt(add(add(0.21085056242289077, mcp), mcp), 0.6742267039414387, m, truediv(if_gt(11, po, 19, 0.014329885774072562), xvar)), p)), 47, n, 768)"
knn,9910,"make_tuple(add(add(if_gt(truediv(p, xvar), 39, pow(po, max(mcp, 0.4638629205709158)), add(add(m, po), po)), pow(p, mcp)), add(if_gt(po, m, 0.1432390516060522, 19), sub(if_gt(mcp, xvar, 28, xvar), rc))), 47, sub(n, 424), 604)"
knn,168335,"make_tuple(mul(max(m, truediv(19, truediv(mul(xvar, 0.36186692190395253), mcp))), max(add(0.39284258757207446, mul(if_gt(po, m, 0.005560108637318801, n), if_gt(0.4661110558588645, mcp, po, 0))), xvar)), 61, n, 170)"
knn,3907,"make_tuple(if_gt(truediv(po, 8), 20, mul(mcp, p), max(mul(sub(m, po), mul(mcp, 82)), mul(6, sub(pow(p, mcp), rc)))), p, n, 198)"
knn,3,"make_tuple(max(max(pow(max(mul(m, 0.5949832957404994), 16), xvar), truediv(pow(truediv(153, xvar), mcp), xvar)), mul(p, 0.03444606254797049)), 46, 555, 162)"
knn,125920,"make_tuple(if_gt(min(xvar, 0.5641167476274535), mcp, if_gt(0.0007720238256291339, mkd, p, if_gt(po, m, 16, n)), 59), 61, n, 155)"
